area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Karukutty,2 BHK,NAmes,1630,2,1,7335000
Built-up  Area,Ready To Move,Kochi Madurai Dhanushkodi Road,3 BHK,CollgCr,2000,3,1,9000000
Super built-up  Area,Ready To Move,Kollamkudimugal,2 BHK,Sawyer,1600,2,2,7200000
Super built-up  Area,Ready To Move,KP Vallon Road,2 BHK,Edwards,1350,2,2,6075000
Super built-up  Area,Ready To Move,Mulavukad,3 BHK,BrkSide,1500,3,1,6750000
Super built-up  Area,18-Apr,Muppathadam Road,2 BHK,Gilbert,1600,2,2,7200000
Super built-up  Area,Ready To Move,Muttambalam Village Kottayam,3 BHK,SawyerW,2900,3,1,13050000
Super built-up  Area,18-Jan,Muvattupuzha,2 BHK,BrkSide,1200,2,1,5400000
Super built-up  Area,Ready To Move,Naroth Road,2 BHK,CollgCr,2255,2,0,10147500
Super built-up  Area,Ready To Move,Nettoor,3 BHK,NridgHt,1400,3,1,6300000
Plot  Area,Ready To Move,Pachalam,4 Bedroom,NWAmes,1500,5,2,6750000
Super built-up  Area,18-Feb,Palluruthy,2 BHK,ClearCr,1600,2,2,7200000
Super built-up  Area,Ready To Move,Panchayat Road,3 BHK,OldTown,2700,3,2,12150000
Super built-up  Area,18-May,Periyar Nagar,2 BHK,Edwards,1200,2,1,5400000
Built-up  Area,Ready To Move,Pinarmunda Infopark Short Road,4 BHK,NAmes,4600,4,,20700000
Super built-up  Area,19-Jan,Poonithura,2 BHK,Timber,1650,2,1,7425000
Plot  Area,Ready To Move,Pukkattupady Road,4 Bedroom,Somerst,5520,4,3,24840000
Super built-up  Area,19-Jul,Pullepady,2 BHK,Gilbert,3900,2,1,17550000
Super built-up  Area,Ready To Move,Puthiya Road,2 BHK,Veenker,1800,2,1,8100000
Built-up  Area,Ready To Move,Salem Kochi Highway,2 BHK,NridgHt,4500,2,2,20250000
Super built-up  Area,18-Mar,Satellite Township Padamughal,4 BHK,NridgHt,1551,4,0,6979500
Super built-up  Area,Ready To Move,SRM Road,2 BHK,OldTown,1600,2,2,7200000
Super built-up  Area,Ready To Move,Thevara Ferry Road,3 BHK,OldTown,1955,2,3,8797500
Super built-up  Area,Ready To Move,Vidya Nagar Colony Thrikkakara,3 BHK,Edwards,1550,2,2,6975000
Plot  Area,Ready To Move,Warriyam Road,2 Bedroom,ClearCr,4820,2,0,21690000
Super built-up  Area,18-Aug,Ayyappankavu,2 BHK,NridgHt,1843,2,1,8293500
Super built-up  Area,Ready To Move,Valummel,3 BHK,Gilbert,3640,2,2,16380000
Super built-up  Area,Ready To Move,Edakochi,3 BHK,Timber,3000,3,2,13500000
Super built-up  Area,Ready To Move,Panayappilly,2 BHK,OldTown,4500,2,2,20250000
Super built-up  Area,Ready To Move,South Chittoor,2 BHK,NAmes,1300,2,2,5850000
Super built-up  Area,Ready To Move,Eloor,3 BHK,StoneBr,1000,3,2,4500000
Built-up  Area,18-Jul,Kunnathunad,2 BHK,NAmes,2000,2,1,9000000
Built-up  Area,Ready To Move,Veliyathunadu,3 BHK,Timber,1700,2,1,7650000
Plot  Area,Ready To Move,Koonammavu,3 Bedroom,Edwards,1800,3,3,8100000
Super built-up  Area,Ready To Move,Puthenkurish,3 BHK,ClearCr,1200,2,1,5400000
Super built-up  Area,19-Nov,Kunnukara,2 BHK,Sawyer,1200,2,1,5400000
Super built-up  Area,19-Sep,Kolenchery,3 BHK,StoneBr,1700,3,2,7650000
Super built-up  Area,19-Dec,A z a d Road,4 BHK,OldTown,1650,4,1,7425000
Super built-up  Area,Ready To Move,Alappuzha,3 BHK,Somerst,1500,2,2,6750000
Built-up  Area,Ready To Move,Alappuzha Arthunkal Kochi Road,3 BHK,Crawfor,2500,3,3,11250000
Super built-up  Area,Ready To Move,Alfiya Nagar,3 BHK,Edwards,2500,2,1,11250000
Super built-up  Area,17-Nov,Alinchuvadu,3 BHK,OldTown,2460,2,1,11070000
Super built-up  Area,18-Dec,Alwaye,2 BHK,BrkSide,2800,2,1,12600000
Super built-up  Area,Ready To Move,Ambalamedu,4 BHK,OldTown,2466,4,2,11097000
Super built-up  Area,18-May,Ambelipadam Road,1 RK,Mitchel,1650,1,0,7425000
Super built-up  Area,17-Jun,Amrita Nagar,2 BHK,OldTown,810,2,3,3645000
Super built-up  Area,19-Sep,Aroor,2 BHK,SawyerW,1250,2,1,5625000
Super built-up  Area,18-Dec,Azad Road,4 BHK,StoneBr,3654,4,3,16443000
Built-up  Area,Ready To Move,Block Office Road,2 BHK,Crawfor,3800,2,1,17100000
Super built-up  Area,Ready To Move,Bolghatty Palace Island Resort,1 BHK,NAmes,1456,1,1,6552000
Super built-up  Area,18-May,Brahmapuram,2 BHK,CollgCr,2456,2,1,11052000
Super built-up  Area,22-Jun,Cannon Shed Road,2 BHK,Edwards,3654,2,1,16443000
Super built-up  Area,18-Jan,CBI Road,2 BHK,CollgCr,2250,2,2,10125000
Super built-up  Area,Ready To Move,Chakkalakkal,4 BHK,NPkVill,4500,3,,20250000
Super built-up  Area,Ready To Move,Chakkalapadam Road,2 BHK,Somerst,2000,2,2,9000000
Built-up  Area,Ready To Move,Chakkarapparambu Road,1 BHK,NAmes,1600,1,1,7200000
Plot  Area,Ready To Move,Changampuzha Nagar,1 Bedroom,OldTown,5000,1,1,22500000
Built-up  Area,Ready To Move,Changampuzha Park Road,2 BHK,NridgHt,5500,2,1,24750000
Super built-up  Area,Ready To Move,Chavakkadu Kochi,2 BHK,Edwards,4500,2,2,20250000
Super built-up  Area,Ready To Move,Chembakara,3 BHK,Mitchel,2500,3,2,11250000
Super built-up  Area,Ready To Move,Chembumukku,2 BHK,OldTown,1200,2,2,5400000
Super built-up  Area,Ready To Move,Cherthala Taluk Alappuzha,2 BHK,CollgCr,1000,2,2,4500000
Super built-up  Area,Ready To Move,Chilavannur,2 BHK,OldTown,1350,2,1,6075000
Built-up  Area,Ready To Move,Chitrapuzha Road,3 Bedroom,Gilbert,1435,2,1,6457500
Built-up  Area,18-Dec,Chittethukara,2 BHK,Sawyer,1900,2,1,8550000
Built-up  Area,Ready To Move,Chunangamvely,4 Bedroom,NAmes,1800,4,1,8100000
Built-up  Area,Ready To Move,Cochin College Road,1 Bedroom,SawyerW,1500,1,0,6750000
Super built-up  Area,Ready To Move,Convent Road,2 BHK,NAmes,1800,2,2,8100000
Built-up  Area,Ready To Move,Deshabhimani,2 BHK,Edwards,1000,2,1,4500000
Built-up  Area,18-Dec,Desom,3 BHK,Edwards,1300,3,2,5850000
Built-up  Area,Ready To Move,Echamuku,3 BHK,Somerst,3000,2,2,13500000
Built-up  Area,Ready To Move,Elamana Road,2 BHK,CollgCr,1500,2,2,6750000
Built-up  Area,Ready To Move,Eroor Road,2 BHK,CollgCr,1800,2,2,8100000
Super built-up  Area,18-Dec,FACT Nagar,3 BHK,NAmes,2000,3,1,9000000
Built-up  Area,Ready To Move,Gandhinagar Road,3 BHK,CollgCr,5000,3,3,22500000
Super built-up  Area,Ready To Move,Good Earth Lane,3 BHK,OldTown,2500,3,3,11250000
Built-up  Area,Ready To Move,HMT Colony,3 BHK,Crawfor,1500,2,2,6750000
Super built-up  Area,Ready To Move,HMT Colony Road,2 BHK,Blmngtn,1300,2,1,5850000
Super built-up  Area,Ready To Move,HMT Kalamassery,3 BHK,CollgCr,1050,3,2,4725000
Super built-up  Area,Ready To Move,Idukki,3 BHK,Gilbert,1600,2,2,7200000
Built-up  Area,18-Jan,Janatha Road,2 BHK,NWAmes,1200,2,1,5400000
Super built-up  Area,Ready To Move,Jawahar Nagar,2 BHK,NAmes,3500,2,1,15750000
Super built-up  Area,Ready To Move,Jaya Nagar,2 BHK,NridgHt,1350,2,1,6075000
Built-up  Area,Ready To Move,Journalist Colony,3 BHK,BrDale,4350,2,2,19575000
Super built-up  Area,Ready To Move,Judgemukku Thrikkakara,1 BHK,NoRidge,1900,1,1,8550000
Super built-up  Area,18-Dec,Kaipadamugal,2 BHK,BrDale,1800,2,1,8100000
Super built-up  Area,Ready To Move,Kakkanad Junction Road,3 BHK,Sawyer,3500,3,,15750000
Super built-up  Area,Ready To Move,Kalabhavan Road,2 BHK,Blmngtn,4800,2,1,21600000
Plot  Area,Ready To Move,Kaloor Kadavanthara Road,5 Bedroom,NAmes,5000,5,2,22500000
Super built-up  Area,Ready To Move,Kangarappady Navodaya Road,2 BHK,NoRidge,1300,2,2,5850000
Super built-up  Area,Ready To Move,Karikkamuri,2 BHK,BrDale,2000,2,2,9000000
Super built-up  Area,Ready To Move,Karimugal,2 BHK,CollgCr,1258,2,2,5661000
Plot  Area,Immediate Possession,Karimugal Kaninadu Road,,Gilbert,1800,,,8100000
Super built-up  Area,18-Aug,Karingachira,2 BHK,BrDale,1600,2,1,7200000
Built-up  Area,Ready To Move,Karippassery,2 BHK,CollgCr,1385,2,1,6232500
Super built-up  Area,Ready To Move,Karshaka Road,3 BHK,SawyerW,2500,3,2,11250000
Plot  Area,Ready To Move,Karthikapally Taluk Alappuzha,4 Bedroom,NridgHt,2000,4,0,9000000
Super built-up  Area,Ready To Move,Kasargod,1 BHK,Edwards,1300,1,1,5850000
Super built-up  Area,Ready To Move,KB Jacob Road,3 BHK,Somerst,4500,2,2,20250000
Super built-up  Area,18-Dec,Kochangadi,2 BHK,OldTown,1600,2,1,7200000
Built-up  Area,Ready To Move,Kochi Metropolitan Area,3 BHK,OldTown,1000,3,3,4500000
Super built-up  Area,Ready To Move,Kochi Road,2 BHK,SawyerW,1630,2,3,7335000
Built-up  Area,Ready To Move,Kongorpilly Olanad Road,4 Bedroom,SawyerW,2000,4,,9000000
Super built-up  Area,Ready To Move,Kothamangalam,3 BHK,NWAmes,1600,3,3,7200000
Super built-up  Area,Ready To Move,Kottayam Kochi,2 BHK,OldTown,1350,2,1,6075000
Built-up  Area,Ready To Move,Kozhikode,2 BHK,NAmes,1500,2,2,6750000
Super built-up  Area,Ready To Move,Kumaranasan Road,2 BHK,CollgCr,1600,2,3,7200000
Plot  Area,Ready To Move,Kumarapuram Temple Road,4 Bedroom,ClearCr,2900,2,1,13050000
Plot  Area,20-Jul,Kumbalam,3 Bedroom,BrkSide,1200,3,2,5400000
Super built-up  Area,21-Dec,Kunnumpuram,2 BHK,Crawfor,2255,2,1,10147500
Super built-up  Area,Ready To Move,Kuthukuzhi,3 BHK,SawyerW,1400,3,2,6300000
Super built-up  Area,Ready To Move,Kyomtha Seminary Road,2 BHK,NAmes,1500,2,2,6750000
Super built-up  Area,Ready To Move,LakeshoreMadavana Service Road,3 BHK,NAmes,1600,2,2,7200000
Super built-up  Area,Ready To Move,Layam Road,1 BHK,Gilbert,2700,1,1,12150000
Super built-up  Area,19-Dec,Link Park Lane,2 BHK,Somerst,1200,2,2,5400000
Super built-up  Area,Ready To Move,Lisie Hospital Road,2 BHK,CollgCr,4600,2,1,20700000
Super built-up  Area,Ready To Move,Malikampeedika,3 BHK,CollgCr,1650,2,2,7425000
Super built-up  Area,19-Mar,Mallapally Taluk Pathanamthitta,2 BHK,OldTown,5520,2,1,24840000
Plot  Area,Ready To Move,Mallapuram,3 Bedroom,NAmes,3900,3,0,17550000
Super built-up  Area,Ready To Move,Mannarakkara Road,3 BHK,CollgCr,1800,2,2,8100000
Super built-up  Area,Ready To Move,Marine drive,3 BHK,Sawyer,4500,3,,20250000
Super built-up  Area,Ready To Move,Market Road,3 BHK,OldTown,1551,3,,6979500
Built-up  Area,Ready To Move,Marottichuvadu,4 Bedroom,OldTown,1600,4,2,7200000
Built-up  Area,Ready To Move,Mattanchery,2 BHK,NWAmes,1955,2,1,8797500
Built-up  Area,Ready To Move,Medical Centre Road,4 Bedroom,Gilbert,1550,2,0,6975000
Plot  Area,Ready To Move,Medical College NAD Road,3 Bedroom,SWISU,4820,2,1,21690000
Super built-up  Area,Ready To Move,Menaka-MARINE DRIVE,3 BHK,IDOTRR,1843,3,2,8293500
Super built-up  Area,Ready To Move,MLA Road,2 BHK,Edwards,3640,2,2,16380000
Super built-up  Area,18-Jul,Mundampalam,1 BHK,Somerst,3000,1,1,13500000
Super built-up  Area,Ready To Move,Mundamveli,3 BHK,ClearCr,4500,3,2,20250000
Super built-up  Area,Ready To Move,Munnar,2 BHK,NoRidge,1300,2,3,5850000
Super built-up  Area,18-Dec,Muthukulam Village Kochi,2 BHK,NAmes,1000,2,2,4500000
Super built-up  Area,Ready To Move,Navodaya North Millumpady,2 BHK,Mitchel,2000,2,2,9000000
Super built-up  Area,19-Dec,Nethaji Nagar,2 BHK,BrkSide,1700,2,0,7650000
Super built-up  Area,Ready To Move,NGO Quarters Kochi,2 BHK,Mitchel,1800,2,1,8100000
Super built-up  Area,18-May,NGO Quarters Mavelipuram Road,2 BHK,Gilbert,1200,2,1,5400000
Super built-up  Area,Ready To Move,Nh Byepass,2 BHK,NridgHt,1200,2,2,5400000
Super built-up  Area,Ready To Move,Njarackal,2 BHK,ClearCr,1700,2,2,7650000
Super built-up  Area,19-Jul,Njarakkal,2 BHK,SawyerW,1650,2,1,7425000
Super built-up  Area,19-Dec,North Janatha Road,2 BHK,Somerst,1500,2,2,6750000
Super built-up  Area,Ready To Move,North Kalamassery,2 BHK,NridgHt,2500,2,1,11250000
Super built-up  Area,19-Dec,Ottapalam,1 BHK,Somerst,2500,1,0,11250000
Super built-up  Area,18-Oct,Padivattom,2 BHK,SawyerW,2460,2,2,11070000
Super built-up  Area,Ready To Move,Palachuvadu,1 BHK,Somerst,2800,1,1,12600000
Super built-up  Area,18-Jul,Palakkad,4 BHK,NAmes,2466,4,2,11097000
Super built-up  Area,Ready To Move,Pallimugal Rd,2 BHK,NAmes,1650,2,1,7425000
Built-up  Area,Ready To Move,Panampilly Nagar Link Road,3 BHK,Sawyer,810,2,2,3645000
Super built-up  Area,Ready To Move,Panangad,2 BHK,BrkSide,1250,2,2,5625000
Super built-up  Area,19-Dec,Paravur,2 BHK,CollgCr,3654,2,1,16443000
Super built-up  Area,Ready To Move,Pathadipalam,2 BHK,SWISU,3800,2,1,17100000
Super built-up  Area,Ready To Move,Pathirapally Village Ambalapuzha,2 BHK,Edwards,1456,2,1,6552000
Super built-up  Area,Ready To Move,Pattalam Road,4 BHK,NWAmes,2456,5,,11052000
Super built-up  Area,Ready To Move,Perumbaikadu Village Kottayam,9 BHK,NAmes,3654,8,3,16443000
Super built-up  Area,20-Dec,Pipeline Road,2 BHK,Mitchel,2250,2,2,10125000
Built-up  Area,Ready To Move,Ponnurunni,2 BHK,IDOTRR,4500,2,1,20250000
Super built-up  Area,Ready To Move,Pottakuzhi Mamangalam Road,2 BHK,Somerst,2000,2,2,9000000
Super built-up  Area,Ready To Move,PT Usha Road,2 BHK,NWAmes,1600,2,2,7200000
Built-up  Area,Ready To Move,Pulikillam East Road,2 BHK,Crawfor,5000,2,0,22500000
Built-up  Area,Ready To Move,Puthenpally,3 BHK,Crawfor,5500,3,2,24750000
Built-up  Area,Ready To Move,PuthiyaKavu Valavu Road,2 BHK,CollgCr,4500,2,1,20250000
Super built-up  Area,Ready To Move,Puthukkalavattom Road,3 BHK,CollgCr,1900,3,3,8550000
Super built-up  Area,Ready To Move,Rameshwaram Village,2 BHK,CollgCr,2000,2,2,9000000
Plot  Area,Ready To Move,Ravipuram,4 Bedroom,OldTown,1800,4,2,8100000
Super built-up  Area,Ready To Move,Residential House Kurambala,2 BHK,CollgCr,1800,2,1,8100000
Super built-up  Area,Ready To Move,Seaport Airport Road,3 BHK,SawyerW,1800,3,2,8100000
Super built-up  Area,Ready To Move,Smartcity Road,2 BHK,IDOTRR,2000,1,2,9000000
Super built-up  Area,Ready To Move,SN Junction Over Bridge,2 BHK,Edwards,1900,2,3,8550000
Super built-up  Area,Ready To Move,Society Road,2 BHK,NridgHt,1900,2,2,8550000
Super built-up  Area,Ready To Move,South Kalamassery,3 BHK,Gilbert,1900,2,2,8550000
Super built-up  Area,Ready To Move,St James Church Rd,1 BHK,NAmes,2000,1,1,9000000
Super built-up  Area,18-Apr,Stadium Link Road,3 BHK,OldTown,1900,2,2,8550000
Super built-up  Area,Ready To Move,Stadium Road,2 BHK,Timber,2000,2,1,9000000
Super built-up  Area,Ready To Move,Stadium Round,2 BHK,OldTown,1800,2,1,8100000
Super built-up  Area,Ready To Move,TD Road,3 BHK,Gilbert,1800,2,2,8100000
Plot  Area,Ready To Move,Thamaramkulangara Road,4 Bedroom,NWAmes,2000,4,2,9000000
Super built-up  Area,Ready To Move,Thattampady,2 BHK,Somerst,1900,2,1,8550000
Built-up  Area,18-Apr,Thiruvaniyoor,4 BHK,NoRidge,1900,4,3,8550000
Super built-up  Area,Ready To Move,Thoppumpady,2 BHK,NWAmes,1800,2,1,8100000
Super built-up  Area,Ready To Move,Thottumugham,2 BHK,NridgHt,1800,2,2,8100000
Super built-up  Area,Ready To Move,Thrippunithura,2 BHK,NridgHt,1900,2,1,8550000
Super built-up  Area,18-Jun,Thuthiyoor Road,2 BHK,SawyerW,1800,2,1,8100000
Plot  Area,Ready To Move,Trichur,3 Bedroom,OldTown,1800,3,2,8100000
Built-up  Area,Ready To Move,Uliyannoor,3 BHK,NAmes,1800,3,2,8100000
Super built-up  Area,Ready To Move,Unichira Kochi,3 BHK,IDOTRR,1800,3,3,8100000
Super built-up  Area,Ready To Move,Unnichira Koonamthai,2 BHK,Veenker,2200,2,1,9900000
Super built-up  Area,Ready To Move,Vadakkekotta Kochi,2 BHK,NAmes,1800,1,0,8100000
Super built-up  Area,Ready To Move,Vadasserikkara Village Ranni,3 BHK,BrkSide,2000,2,1,9000000
Plot  Area,18-Apr,Valanjambalam,2 Bedroom,IDOTRR,1800,2,1,8100000
Plot  Area,Ready To Move,Valappu,2 Bedroom,NAmes,1800,2,0,8100000
Super built-up  Area,Ready To Move,Vallarpadam Church Road,4 BHK,NAmes,1800,6,1,8100000
Super built-up  Area,Ready To Move,Vallikavu Road,2 BHK,NridgHt,2000,2,2,9000000
Super built-up  Area,18-Mar,Veli Road,3 BHK,NridgHt,1800,3,3,8100000
Super built-up  Area,Ready To Move,Vidya Nagar Colony,3 BHK,Gilbert,1600,3,3,7200000
Super built-up  Area,Ready To Move,Kakkanad,2 BHK,Timber,1800,2,1,8100000
Super built-up  Area,Ready To Move,Pukkattupady,2 BHK,StoneBr,1800,1,2,8100000
Built-up  Area,Ready To Move,Kaloor,2 BHK,CollgCr,1600,2,2,7200000
Super built-up  Area,19-Dec,Aluva,3 BHK,NWAmes,3500,3,2,15750000
Super built-up  Area,20-Dec,Edappally,3 BHK,NAmes,1200,3,2,5400000
Super built-up  Area,Ready To Move,Marine Drive,2 BHK,Timber,1000,2,1,4500000
Super built-up  Area,18-Jun,Eroor,3 BHK,SawyerW,1350,2,2,6075000
Plot  Area,Ready To Move,Kadavanthra,3 Bedroom,NAmes,1435,3,,6457500
Super built-up  Area,Ready To Move,Thripunithura,4 BHK,NridgHt,1900,5,3,8550000
Super built-up  Area,Ready To Move,Kuzhivelippady,2 BHK,MeadowV,1800,2,2,8100000
Super built-up  Area,19-Jun,Vypin Pallipuram Road,3 BHK,BrkSide,1500,3,3,6750000
Super built-up  Area,19-Mar,Elamakkara,3 BHK,NAmes,1800,3,2,8100000
Super built-up  Area,Ready To Move,Vennala,2 BHK,NAmes,1000,2,2,4500000
Super built-up  Area,Ready To Move,Panampilly Nagar,2 BHK,NridgHt,1300,2,,5850000
Super built-up  Area,18-Oct,Perumbavoor,2 BHK,NridgHt,3000,2,1,13500000
Plot  Area,Ready To Move,Kalamassery,5 Bedroom,NridgHt,1500,5,2,6750000
Super built-up  Area,Ready To Move,Maradu,3 BHK,ClearCr,1800,3,2,8100000
Super built-up  Area,Ready To Move,Vaduthala,2 BHK,Edwards,2000,2,1,9000000
Super built-up  Area,Ready To Move,Kakkanad Pallikara Road,2 BHK,OldTown,5000,2,2,22500000
Plot  Area,Ready To Move,vyttila,6 Bedroom,SWISU,2500,6,3,11250000
Super built-up  Area,Ready To Move,Vytilla,3 BHK,CollgCr,1500,2,3,6750000
Super built-up  Area,Ready To Move,Angamaly,2 BHK,Gilbert,1300,2,2,5850000
Built-up  Area,Ready To Move,Thammanam,4 Bedroom,MeadowV,1050,3,0,4725000
Super built-up  Area,Ready To Move,Thevara,2 BHK,ClearCr,1600,2,2,7200000
Plot  Area,Ready To Move,Vazhakkala,3 Bedroom,NoRidge,1200,3,1,5400000
Super built-up  Area,Ready To Move,Pallikkara,2 BHK,Mitchel,3500,2,1,15750000
Super built-up  Area,Ready To Move,Thevakkal,2 BHK,BrkSide,1350,2,2,6075000
Super built-up  Area,18-May,Palarivattom,3 BHK,Edwards,4350,2,2,19575000
Plot  Area,Ready To Move,Thrikkakara,4 Bedroom,BrDale,1900,4,0,8550000
Built-up  Area,Ready To Move,Nedumbassery,6 BHK,NWAmes,1800,6,2,8100000
Super built-up  Area,18-Sep,Ernakulam South,3 BHK,IDOTRR,3500,,,15750000
Super built-up  Area,18-May,Padamughal,2 BHK,NAmes,4800,2,1,21600000
Super built-up  Area,Ready To Move,Thykoodam,2 BHK,NAmes,5000,2,1,22500000
Super built-up  Area,Ready To Move,Elamkulam,3 BHK,NAmes,1300,3,1,5850000
Super built-up  Area,Ready To Move,Edathala,2 BHK,NAmes,2000,2,2,9000000
Super built-up  Area,Ready To Move,Kangarappady,4 BHK,Gilbert,1258,4,2,5661000
Super built-up  Area,Ready To Move,Mamangalam,1 BHK,ClearCr,1800,1,1,8100000
Super built-up  Area,18-May,Varapuzha,3 BHK,SawyerW,1600,3,2,7200000
Super built-up  Area,Ready To Move,Mulanthuruthy,2 BHK,NAmes,1385,2,2,6232500
Super built-up  Area,Ready To Move,Kathrikadavu,3 BHK,CollgCr,2500,3,3,11250000
Super built-up  Area,Ready To Move,Kurlad Anganvadi Road,2 BHK,Edwards,2000,2,1,9000000
Super built-up  Area,21-Dec,MG Road,2 BHK,CollgCr,1300,2,1,5850000
Plot  Area,Ready To Move,Kacheripady,4 Bedroom,Somerst,4500,4,3,20250000
Plot  Area,Ready To Move,Cheranalloor,1 Bedroom,StoneBr,1600,1,1,7200000
Super built-up  Area,18-May,Chambakkara Kannadikadu Road,2 BHK,Gilbert,1000,2,2,4500000
Super built-up  Area,18-Jun,Chottanikkara,2 BHK,SWISU,1630,2,1,7335000
Plot  Area,Ready To Move,High Court Road,8 Bedroom,Somerst,2000,6,2,9000000
Plot  Area,Ready To Move,Infopark,3 Bedroom,CollgCr,1600,4,2,7200000
Super built-up  Area,Ready To Move,Kannankulangara,2 BHK,SawyerW,1350,2,1,6075000
Built-up  Area,Ready To Move,Keerthi Nagar Road,4 BHK,ClearCr,1500,2,1,6750000
Super built-up  Area,21-Jan,Kochi,2 BHK,Blmngtn,1600,2,1,7200000
Super built-up  Area,Ready To Move,Kundannoor,3 BHK,Edwards,2900,3,3,13050000
Super built-up  Area,Ready To Move,Manjummel,3 BHK,Edwards,1200,3,2,5400000
Super built-up  Area,Ready To Move,Puthiyakavu,2 BHK,CollgCr,2255,2,2,10147500
Built-up  Area,Ready To Move,Sahodaran Ayyappan Road,1 Bedroom,NridgHt,1400,1,1,6300000
Super built-up  Area,Ready To Move,Shenoys,2 BHK,Edwards,1500,2,1,6750000
Super built-up  Area,Ready To Move,Thengode Edachira Road,3 BHK,Mitchel,1600,2,2,7200000
Super built-up  Area,Ready To Move,Thiruvankulam Chottanikkara Road,2 BHK,NAmes,2700,2,1,12150000
Super built-up  Area,Ready To Move,Thottakkattukara,2 BHK,BrkSide,1200,2,2,5400000
Built-up  Area,Ready To Move,Pallimukku,1 BHK,OldTown,4600,1,0,20700000
Super built-up  Area,Ready To Move,Perumanoor,3 BHK,Edwards,1650,5,1,7425000
Super built-up  Area,Ready To Move,Chittoor Road,2 BHK,CollgCr,5520,2,2,24840000
Super built-up  Area,Ready To Move,Chalikkavattom,3 BHK,NAmes,3900,2,2,17550000
Super built-up  Area,18-May,Eroor South,2 BHK,IDOTRR,1800,2,2,8100000
Built-up  Area,Ready To Move,Fortkochi,4 Bedroom,Somerst,4500,,,20250000
Super built-up  Area,Ready To Move,Kadungalloor,5 BHK,Veenker,1551,4,1,6979500
Super built-up  Area,Ready To Move,Kathrikadavu Railway Over Bridge,3 BHK,CollgCr,1600,3,2,7200000
Plot  Area,Ready To Move,Mini Bypass Tripunithura Road,3 Bedroom,Sawyer,1955,3,1,8797500
Super built-up  Area,Ready To Move,Ponekkara,2 BHK,NoRidge,1550,2,1,6975000
Super built-up  Area,Ready To Move,Puthencruz,2 BHK,Gilbert,4820,2,1,21690000
Built-up  Area,Ready To Move,Chilavannoor,7 Bedroom,Sawyer,1843,7,,8293500
Built-up  Area,Ready To Move,Thrikkakara North,3 BHK,SWISU,3640,3,2,16380000
Super built-up  Area,18-May,Vazhakkulam,2 BHK,Crawfor,3000,2,2,13500000
Built-up  Area,Ready To Move,North Paravoor,3 BHK,NridgHt,4500,2,1,20250000
Super built-up  Area,Ready To Move,Athani Mundapalam Road,2 BHK,Somerst,1300,2,2,5850000
Super built-up  Area,Ready To Move,Chakkaraparambu,2 BHK,Edwards,1000,2,2,4500000
Super built-up  Area,18-Mar,Chembumukku Road,3 BHK,Gilbert,2000,3,1,9000000
Super built-up  Area,21-May,Choornikkara,2 BHK,Somerst,1700,2,3,7650000
Super built-up  Area,Ready To Move,Chullickal,2 BHK,OldTown,1800,2,2,8100000
Super built-up  Area,Ready To Move,Elamakkara Road,3 BHK,SawyerW,1200,2,1,5400000
Super built-up  Area,19-Dec,Elamkulam Bridge,2 BHK,Gilbert,1200,2,1,5400000
Super built-up  Area,Ready To Move,Ernakulam North Kathrikadavu,2 BHK,Sawyer,1700,2,1,7650000
Plot  Area,Ready To Move,Eroor Rd,1 Bedroom,Crawfor,1650,1,1,7425000
Super built-up  Area,Ready To Move,Ettumanoor Ernakulam Rd,2 BHK,Edwards,1500,2,2,6750000
Carpet  Area,18-Dec,Gandhi Nagar,4 BHK,NAmes,2500,4,1,11250000
Super built-up  Area,Ready To Move,Hill Palace Road,4 BHK,Mitchel,2500,4,2,11250000
Built-up  Area,Ready To Move,Irumpanam,3 BHK,NWAmes,2460,2,2,11070000
Super built-up  Area,19-Mar,Kadavanthara Road,3 BHK,Mitchel,2800,3,1,12600000
Super built-up  Area,Ready To Move,Kakkanad,2 BHK,NoRidge,2466,2,2,11097000
Built-up  Area,Ready To Move,Kakkanad NGO Quarters Road,2 BHK,NAmes,1650,2,2,7425000
Super built-up  Area,Ready To Move,Kakkanad Road,3 BHK,OldTown,1800,2,,8100000
Built-up  Area,18-Dec,Kaladi,2 BHK,SawyerW,1250,2,1,5625000
Built-up  Area,Ready To Move,Kannamkulangara Road,2 BHK,NAmes,3654,2,1,16443000
Super built-up  Area,19-Dec,Karukutty,3 BHK,CollgCr,3800,2,1,17100000
Plot  Area,Ready To Move,Kochi Madurai Dhanushkodi Road,6 Bedroom,Timber,1456,6,3,6552000
Built-up  Area,Ready To Move,Kollamkudimugal,3 BHK,BrDale,2456,2,2,11052000
Super built-up  Area,Ready To Move,KP Vallon Road,3 BHK,OldTown,3654,3,,16443000
Built-up  Area,18-Mar,Mulavukad,2 BHK,BrDale,2250,2,2,10125000
Super built-up  Area,Ready To Move,Muppathadam Road,2 BHK,Gilbert,4500,2,2,20250000
Super built-up  Area,18-Dec,Muttambalam Village Kottayam,3 BHK,MeadowV,2000,3,2,9000000
Plot  Area,Ready To Move,Muvattupuzha,6 Bedroom,CollgCr,1600,8,0,7200000
Super built-up  Area,Ready To Move,Naroth Road,2 BHK,OldTown,5000,2,1,22500000
Plot  Area,Ready To Move,Nettoor,3 Bedroom,BrkSide,5500,3,1,24750000
Built-up  Area,Ready To Move,Pachalam,3 BHK,Crawfor,4500,3,1,20250000
