area_type,price,total_sqft,location,size,availability,bath,balcony,SwimmingPool,society,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,24X7Security,PowerBackup,CarParking,StaffQuarter,Cafeteria,MultipurposeRoom,Hospital,WashingMachine,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,BED,VaastuCompliant,Microwave,GolfCourse,TV,DiningTable,Sofa,Wardrobe,Refrigerator
Plot  Area,8358000,1365,Bommasandra,4 Bedroom,Ready To Move,4,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,10900000,2730,Sarjapur Road,2 BHK,19-Jul,2,9,9,Soazak ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,18500000,1585,Byrathi,2 BHK,Ready To Move,2,9,9,Srayatr,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,18600000,2640,Budigere Cross,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,3600000,1010,Bommasandra,4 BHK,18-Mar,4,9,9,Rosha I,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,5600000,1306,Talaghattapura,2 BHK,Ready To Move,2,9,9,Goezell,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,3900000,1706,Talaghattapura,3 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,2975000,2235,Uttarahalli,3 BHK,Ready To Move,2,9,9,DiamiSa,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,4800000,2243,Uttarahalli,2 Bedroom,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,12900000,720,Hebbal,2 BHK,18-Aug,2,9,9,Maunt M,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7000000,1095,Hennur Road,3 BHK,Ready To Move,2,9,9,J axyGa,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,3859000,1005,Electronic City Phase I,3 BHK,Ready To Move,3,9,9,Afncyad,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,5200000,850,Chandapura,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,4402000,1260,Bommasandra,2 BHK,Ready To Move,2,9,9,Malowr ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,27799999,1695,HSR Layout,3 BHK,Ready To Move,3,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,7840000,1500,6th phase jp nagar,2 BHK,18-Jul,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,8120000,950,Chandapura Anekal Road,3 BHK,Ready To Move,2,9,9,KroneMo,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,8400000,1013,Ramagondanahalli,3 Bedroom,Ready To Move,3,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,8400000,691,Chikkanayakanahalli at Off Sarjapur,3 BHK,Ready To Move,2,9,9,Aklia R,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,8400000,3360,ITPL,2 BHK,19-Nov,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7840000,1400,Uttarahalli,3 BHK,19-Sep,3,9,9,Soazak ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,8120000,1450,Uttarahalli,4 BHK,19-Dec,4,9,9,LedorSa,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,8400000,1500,Uttarahalli,3 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,8400000,1500,Uttarahalli,3 BHK,Ready To Move,3,9,9,JRrnauv,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,8400000,1500,Uttarahalli,3 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,4000000,1400,Poornaprajna Layout,3 BHK,17-Nov,2,9,9,AdhriPa,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,5544000,1450,Poornaprajna Layout,2 BHK,18-Dec,2,9,9,Vaniai ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,6148000,1500,Poornaprajna Layout,4 BHK,Ready To Move,4,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7245999,1500,Poornaprajna Layout,1 RK,18-May,1,9,9,AsNowre,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,5622000,1500,Poornaprajna Layout,2 BHK,17-Jun,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,5297000,1047,Kasavanahalli,2 BHK,19-Sep,2,9,9,Srods P,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,5343000,1113,Jakkur,4 BHK,18-Dec,4,9,9,Jaades ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,5780000,1245,Jakkur,2 BHK,Ready To Move,2,9,9,Vaensia,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,4356000,1485,Jakkur,1 BHK,Ready To Move,1,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,4547000,1130,Jakkur,2 BHK,18-May,2,9,9,NellsKo,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,6375000,1059,Jakkur,2 BHK,22-Jun,2,9,9,GoAirej,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,8900000,1069,Jakkur,2 BHK,18-Jan,2,9,9,Asadacy,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,2310000,1360,Electronic City Phase 1,4 BHK,Ready To Move,3,9,9,Reeroce,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,5580000,1025,Electronic City Phase 1,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,23000000,1070,Electronic City Phase 1,1 BHK,Ready To Move,1,9,9,Shenshi,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,11000000,1500,Electronic City Phase 1,1 Bedroom,Ready To Move,1,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,5352000,1350,Sarjapur Road,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,9900000,660,Chandapura,2 BHK,Ready To Move,2,9,9,Ammesss,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,12600000,1074,Ramamurthy Nagar,3 BHK,Ready To Move,3,9,9,Soarkig,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,3800000,2730,Sarjapur Road,2 BHK,Ready To Move,2,9,9,Niareum,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,6200000,1630,Budigere Cross,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,3850000,1115,Horamavu,2 BHK,Ready To Move,2,9,9,Prarkun,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,12800000,1446,Jalahalli West,3 Bedroom,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,21100000,1693,Marathahalli,2 BHK,18-Dec,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,4328000,732,MS Ramaiah North City Manayata Tech Park,4 Bedroom,Ready To Move,4,9,9,Rocid P,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,4500000,1339,Uttarahalli Hobli,1 Bedroom,Ready To Move,1,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,4500000,1115,Marsur,2 BHK,Ready To Move,2,9,9,May 2ge,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,3800000,1914,Hebbal,2 BHK,Ready To Move,2,9,9,Vantsra,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,4500000,3140,Budigere Cross,3 BHK,18-Dec,3,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,5500000,1076,Babusabpalya,3 BHK,Ready To Move,2,9,9,Ablmsol,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,3400000,1000,Akshayanagar,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,5200000,1000,Off Bannerghatta Road,2 BHK,Ready To Move,2,9,9,Brway G,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,2848000,874,Koppa Begur Road,3 BHK,18-Dec,3,9,9,Goaysn ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,3265000,1000,Akshayanagar,3 BHK,Ready To Move,3,9,9,Akdorli,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,3047000,1130,Sarjapur Road Wipro To Railway Crossing,3 BHK,Ready To Move,3,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,19000000,955,Bommasandra,3 BHK,Ready To Move,2,9,9,Myace P,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,5526000,1154,Ramagondanahalli,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,3761999,943,sarjapura attibele road,3 BHK,Ready To Move,3,9,9,Eladero,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,3564000,1100,sarjapura attibele road,3 BHK,Ready To Move,2,9,9,Arhid O,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,3024000,1018,sarjapura attibele road,2 BHK,18-Jan,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,3510000,1296,Kanakapura,2 BHK,Ready To Move,2,9,9,Malmsri,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,3060000,1535,Sarjapur,2 BHK,Ready To Move,2,9,9,Prersis,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,5634000,1045,Sarjapur,3 BHK,Ready To Move,2,9,9,ACopsva,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,16100000,990,Sarjapur,1 BHK,Ready To Move,1,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,17200000,840,Sarjapur,2 BHK,18-Dec,2,9,9,Prtates,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,22799999,975,Sarjapur,3 BHK,Ready To Move,3,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,29300000,850,Sarjapur,2 BHK,Ready To Move,2,9,9,PantsAp,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,23000000,1565,Sarjapur,5 Bedroom,Ready To Move,5,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,23000000,2990,Budigere Cross,2 BHK,Ready To Move,2,9,9,Elodsre,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7500000,1776,JP Nagar Phase 7,2 BHK,Ready To Move,2,9,9,MenueNo,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,8960000,2370,JP Nagar Phase 7,2 BHK,Ready To Move,2,9,9,PSterAs,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,6400000,3012,JP Nagar Phase 7,,Immediate Possession,,9,9,Emngs S,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,3200000,2730,Sarjapur,2 BHK,18-Aug,2,9,9,ViistLa,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,4300000,2730,Sarjapur Road,2 BHK,Ready To Move,2,9,9,Krone S,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,13899999,1290,Sahakar Nagar,3 BHK,Ready To Move,3,9,9,Dieldli,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,9500000,1792,Bagaluru Near Yelahanka,4 Bedroom,Ready To Move,4,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,8400000,1023,8th Phase JP Nagar,1 BHK,Ready To Move,1,9,9,Raiyai ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,8120000,1020,Koppa Begur Road,3 BHK,Ready To Move,2,9,9,DSise S,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,7840000,1100,JP Nagar,2 BHK,18-Dec,2,9,9,Prtates,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,8400000,1591,Konanakunte,3 BHK,Ready To Move,3,9,9,ViionMa,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,13799999,1218,Konanakunte,2 BHK,Ready To Move,2,9,9,Veale R,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,4133000,1500,RR Nagar,4 Bedroom,Ready To Move,4,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,2745000,1450,RR Nagar,3 BHK,Ready To Move,3,9,9,Adeatlm,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,14300000,1400,BEML Layout 5th Stage,2 BHK,Ready To Move,2,9,9,Varlsa ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,12000000,1500,BEML Layout 5th Stage,2 BHK,Ready To Move,2,9,9,Maest N,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,4133000,1808,Bellandur,2 BHK,Ready To Move,2,9,9,Grntsd ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,2899000,1025,Anekal City,4 Bedroom,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,2899000,645,Anekal City,3 Bedroom,20-Jul,3,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,23000000,1783,Kumaraswamy Layout,2 BHK,21-Dec,2,9,9,PrarePa,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,23100000,1330,Bellandur,3 BHK,Ready To Move,3,9,9,NCowsar,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,9513000,1025,Anekal City,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,23400000,779,Attibele,3 BHK,Ready To Move,2,9,9,ARureig,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,10600000,779,Attibele,1 BHK,Ready To Move,1,9,9,Amelllu,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,12700000,2730,Sarjapur Road,2 BHK,19-Dec,2,9,9,Shitt S,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,18800000,2480,Banashankari,2 BHK,Ready To Move,2,9,9,Kut 3or,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,12300000,957,Konanakunte,3 BHK,Ready To Move,2,9,9,MGBay T,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,10800000,2353,Uttarahalli,2 BHK,19-Mar,2,9,9,Puachal,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,8499000,1521,Kumaraswamy Layout,3 Bedroom,Ready To Move,3,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,10100000,1262,Konanakunte,3 BHK,Ready To Move,2,9,9,SLnssPr,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,32799999,1935,Konanakunte,3 BHK,Ready To Move,3,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,10100000,1204,Konanakunte,3 BHK,Ready To Move,3,9,9,IBityin,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,24300000,1703,Talaghattapura,4 Bedroom,Ready To Move,4,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,8256000,1328,Talaghattapura,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Built-up  Area,33900000,1585,Talaghattapura,4 Bedroom,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Plot  Area,23100000,3463,JP Nagar Phase 4,3 Bedroom,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,8460000,1592,Talaghattapura,3 BHK,Ready To Move,3,9,9,PhestOn,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,23500000,2563,JP Nagar Phase 4,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,40500000,1290,Talaghattapura,1 BHK,18-Jul,1,9,9,Maian M,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,41100000,3571,JP Nagar Phase 4,3 BHK,Ready To Move,3,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,20900000,2437,JP Nagar Phase 4,2 BHK,Ready To Move,2,9,9,Vixirri,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,28400000,1322,Talaghattapura,2 BHK,18-Dec,2,9,9,Inaxyga,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,25000000,2482,JP Nagar Phase 4,2 BHK,Ready To Move,2,9,9,Vehida ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,28200000,4273,JP Nagar Phase 4,2 BHK,19-Dec,2,9,9,Aseenh ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,30500000,4336,JP Nagar Phase 4,2 BHK,Ready To Move,2,9,9,Nimesch,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,25299999,2200,JP Nagar Phase 4,2 BHK,18-May,2,9,9,Prtates,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,90200000,2411,JP Nagar Phase 1,2 BHK,Ready To Move,2,9,9,AdadeEs,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,43300000,2124,JP Nagar Phase 1,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,89800000,2399,JP Nagar Phase 1,2 BHK,19-Jul,2,9,9,Goues A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,18600000,3595,Hulimavu,2 BHK,19-Dec,2,9,9,Goues A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Super built-up  Area,39000000,2145,JP Nagar Phase 1,2 BHK,Ready To Move,2,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
