id,area_type,price,total_sqft,location,size,availability,bath,balcony,society,YearBuilt,YearRemodAdd,MoSold,YrSold,MSSubClass,LotFrontage,1stFlrSF,2ndFlrSF,Gymnasium,LandscapedGardens,ATM,School,CarParking,Hospital,OverallQual,OverallCond,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea
2584,Super built-up  Area,17000000,1700,Sector 4 Dwarka,2 BHK,18-May,2,9,Blmngtn,1928,1950,6,2020,20,77,698,0,9,9,9,9,9,9,5,9,0,0,0,698,698,698,0,0,698
2585,Super built-up  Area,8500000,1900,Sector 7 Dwarka,4 BHK,18-Feb,1,9,Gilbert,1991,1992,7,2020,80,NA,812,670,9,9,9,9,9,9,7,5,170,0,0,384,384,812,670,0,1482
2586,Built-up  Area,16000000,1350,Chattarpur,2 BHK,Ready To Move,1,9,Gilbert,1880,1950,11,2019,20,61,1005,0,9,9,9,9,9,9,4,5,0,0,0,1005,1005,1005,0,0,1005
2587,Super built-up  Area,4000000,1800,Sector 3 Dwarka,2 BHK,Ready To Move,2,9,OldTown,1995,1995,6,2020,120,34,1555,0,9,9,9,9,9,9,7,5,130,0,0,1373,1373,1555,0,0,1555
2588,Super built-up  Area,24500000,516,Sarita Vihar,1 BHK,21-Jun,1,9,SWISU,1997,1997,11,2020,20,NA,1530,0,9,9,9,9,9,9,7,5,0,1300,0,230,1530,1530,0,0,1530
2589,Super built-up  Area,13500000,2200,Saket,2 BHK,Ready To Move,2,9,Mitchel,1926,1950,7,2018,60,74,847,1112,9,9,9,9,9,9,7,5,0,0,0,847,847,847,1112,0,1959
2590,Super built-up  Area,3600000,1650,Sector 7 Dwarka,2 BHK,Ready To Move,2,9,OldTown,1950,1950,8,2019,90,90,936,0,9,9,9,9,9,9,5,5,180,936,0,0,936,936,0,0,936
2591,Super built-up  Area,4000000,516,Sarita Vihar,2 BHK,21-Jan,2,9,SawyerW,1875,1996,12,2020,50,65,1328,653,9,9,9,9,9,9,4,3,0,622,0,500,1122,1328,653,0,1981
2592,Super built-up  Area,15000000,516,Mathura Road Sarita Vihar,3 BHK,19-Dec,1,9,Gilbert,1977,1977,9,2020,20,NA,974,0,9,9,9,9,9,9,5,5,0,212,0,762,974,974,0,0,974
2593,Super built-up  Area,15000000,1000,Sector-14 Rohini,2 BHK,Ready To Move,2,9,BrkSide,1920,1950,5,2019,70,50,1178,1032,9,9,9,9,9,9,6,4,0,0,0,1008,1008,1178,1032,0,2210
2594,Super built-up  Area,13700000,1050,Rohini Sector 9,2 BHK,Ready To Move,1,9,NAmes,1951,1951,6,2018,60,75,1142,878,9,9,9,9,9,9,8,5,0,584,0,544,1128,1142,878,0,2020
2595,Super built-up  Area,19000000,975,Sector 13 Rohini,3 BHK,Ready To Move,2,9,Sawyer,1976,1976,8,2015,60,55,916,684,9,9,9,9,9,9,6,5,0,0,0,916,916,916,684,0,1600
2596,Super built-up  Area,13500000,1500,Sheikh Sarai,3 BHK,Ready To Move,2,9,Mitchel,2006,2007,5,2016,30,48,986,0,9,9,9,9,9,9,6,5,0,0,0,960,960,986,0,0,986
2597,Plot  Area,10400000,1100,Munirka,4 Bedroom,Ready To Move,2,9,BrkSide,1959,1959,4,2020,50,60,1032,220,9,9,9,9,9,9,6,5,0,280,0,752,1032,1032,220,0,1252
2598,Super built-up  Area,3600000,1050,Munirka,2 BHK,Ready To Move,1,9,NAmes,1941,1950,5,2020,50,NA,780,240,9,9,9,9,9,9,5,8,0,0,0,780,780,780,240,0,1020
2599,Super built-up  Area,4500000,950,Dwarka Mor,2 BHK,Ready To Move,1,9,NWAmes,1928,1950,5,2020,20,55,1567,0,9,9,9,9,9,9,6,5,0,1567,0,0,1567,1567,0,0,1567
2600,Super built-up  Area,6500000,1050,Dwarka Mor,3 BHK,Ready To Move,1,9,CollgCr,1985,1985,5,2019,30,69,1167,0,9,9,9,9,9,9,5,5,0,645,0,270,915,1167,0,0,1167
2601,Super built-up  Area,3300000,1250,Dwarka Mor,3 BHK,Ready To Move,2,9,Sawyer,1941,1950,6,2019,20,69,952,0,9,9,9,9,9,9,5,7,0,852,0,100,952,952,0,0,952
2602,Super built-up  Area,3000000,850,Dwarka Mor,3 BHK,19-Jul,1,9,Edwards,1926,1950,10,2018,60,88,1088,780,9,9,9,9,9,9,5,7,44,381,0,399,780,1088,780,0,1868
2603,Built-up  Area,2400000,750,Dwarka Mor,4 BHK,Ready To Move,1,9,BrkSide,1920,1988,4,2015,60,NA,1466,1362,9,9,9,9,9,9,8,5,340,1150,0,316,1466,1466,1362,0,2828
2604,Super built-up  Area,2000000,600,Dwarka Mor,2 BHK,Ready To Move,2,9,SawyerW,1950,1950,7,2014,20,75,1006,0,9,9,9,9,9,9,5,3,0,288,0,718,1006,1006,0,0,1006
2605,Super built-up  Area,13000000,550,Dwarka Mor,3 BHK,22-Jun,3,9,Crawfor,1959,1959,7,2014,190,NA,672,252,9,9,9,9,9,9,4,4,0,348,0,324,672,672,252,0,924
2606,Super built-up  Area,14200000,1300,Sector 13 Rohini,2 BHK,Ready To Move,1,9,OldTown,1956,2004,8,2017,50,78,1042,534,9,9,9,9,9,9,5,6,0,0,0,1042,1042,1042,534,0,1576
2607,Super built-up  Area,6500000,1150,Munirka,3 BHK,Ready To Move,1,9,OldTown,1930,2007,5,2017,20,80,1298,0,9,9,9,9,9,9,6,5,85,1258,0,40,1298,1298,0,0,1298
2608,Built-up  Area,12500000,1000,Paryavaran Complex,2 BHK,Ready To Move,1,9,NAmes,1965,1988,7,2017,70,NA,860,704,9,9,9,9,9,9,7,7,0,275,0,429,704,860,704,0,1564
2609,Plot  Area,16000000,1100,Meera Bagh,4 Bedroom,Ready To Move,2,9,Edwards,1976,2004,8,2018,50,82,572,539,9,9,9,9,9,9,7,7,0,0,0,572,572,572,539,0,1111
2610,Super built-up  Area,18500000,1800,Punjabi Bagh,3 BHK,Ready To Move,1,9,Crawfor,1965,1999,7,2018,70,73,832,650,9,9,9,9,9,9,7,9,0,624,0,26,650,832,650,0,1482
2611,Super built-up  Area,4799000,1000,Saket,2 BHK,Ready To Move,1,9,IDOTRR,2007,2008,11,2016,20,65,932,0,9,9,9,9,9,9,6,5,0,0,0,932,932,932,0,0,932
2612,Built-up  Area,5199000,900,Uttam Nagar,2 BHK,Ready To Move,1,9,NAmes,2007,2008,11,2016,20,70,1466,0,9,9,9,9,9,9,5,4,132,176,0,1290,1466,1466,0,0,1466
2613,Super built-up  Area,3599000,920,Uttam Nagar,3 BHK,18-May,1,9,Veenker,1974,1974,7,2015,20,78,1811,0,9,9,9,9,9,9,6,7,0,296,547,230,1073,1811,0,0,1811
2614,Super built-up  Area,4199000,675,Uttam Nagar,3 BHK,18-Jul,1,9,NAmes,1978,1978,6,2010,30,71,816,0,9,9,9,9,9,9,6,8,0,538,0,278,816,816,0,0,816
2615,Super built-up  Area,27000000,810,Uttam Nagar,3 BHK,Ready To Move,1,9,NridgHt,1954,2006,5,2011,60,78,902,918,9,9,9,9,9,9,7,6,288,454,0,410,864,902,918,0,1820
2616,Super built-up  Area,15800000,1700,Sector 18A Dwarka,3 BHK,Ready To Move,1,9,Somerst,1968,1968,7,2011,20,70,1437,0,9,9,9,9,9,9,5,8,0,1157,0,280,1437,1437,0,0,1437
2617,Super built-up  Area,16500000,1700,Sector 22 Dwarka,2 BHK,Ready To Move,1,9,NWAmes,1969,1969,10,2012,80,24,1265,0,9,9,9,9,9,9,5,8,0,633,0,586,1219,1265,0,0,1265
2618,Super built-up  Area,10500000,1650,Sector 12 Dwarka,4 BHK,19-Dec,2,9,NPkVill,1978,1978,7,2012,120,51,1314,0,9,9,9,9,9,9,7,5,166,904,0,410,1314,1314,0,0,1314
2619,Super built-up  Area,11000000,1200,Sector 17 Dwarka,2 BHK,Ready To Move,2,9,Crawfor,2009,2009,6,2013,20,NA,1580,0,9,9,9,9,9,9,8,5,186,0,0,1580,1580,1580,0,0,1580
2620,Super built-up  Area,19500000,1200,Sector 13 Dwarka,3 BHK,Ready To Move,2,9,Sawyer,2008,2008,7,2020,60,63,943,933,9,9,9,9,9,9,6,6,270,442,0,459,901,943,933,0,1876
2621,Super built-up  Area,13899999,1800,Sector 23 Dwarka,6 BHK,Ready To Move,2,9,Sawyer,2000,2000,7,2020,160,NA,855,601,9,9,9,9,9,9,6,5,0,311,0,544,855,855,601,0,1456
2622,Super built-up  Area,35000000,1700,Sector 3 Dwarka,3 BHK,18-May,2,9,Veenker,1935,1986,11,2018,20,120,1640,0,9,9,9,9,9,9,6,7,72,728,0,568,1296,1640,0,0,1640
2623,Built-up  Area,15600000,2400,Sector 12 Dwarka,3 BHK,Ready To Move,2,9,NridgHt,1995,1996,5,2019,20,107,894,0,9,9,9,9,9,9,5,5,0,492,0,402,894,894,0,0,894
2624,Plot  Area,22000000,2400,Sector 5 Dwarka,4 Bedroom,18-Jul,1,9,CollgCr,1977,1977,1,2020,90,NA,1258,0,9,9,9,9,9,9,4,4,0,1198,0,0,1198,1258,0,0,1258
2625,Built-up  Area,3700000,2400,Sector 10 Dwarka,3 BHK,Ready To Move,1,9,Gilbert,1958,1958,6,2020,80,NA,1432,0,9,9,9,9,9,9,5,7,0,680,391,289,1360,1432,0,0,1432
2626,Super built-up  Area,18000000,1625,Kundli,2 BHK,Ready To Move,0,9,Edwards,2006,2007,9,2019,20,84,1502,0,9,9,9,9,9,9,7,5,268,0,0,1502,1502,1502,0,0,1502
2627,Super built-up  Area,10000000,1204,Hauz Khas Enclave,2 BHK,Ready To Move,1,9,NoRidge,1946,1994,2,2018,20,60,1694,0,9,9,9,9,9,9,8,5,72,0,0,1694,1694,1694,0,0,1694
2628,Built-up  Area,13000000,1245,Shanti Park Dwarka,3 BHK,Ready To Move,2,9,Mitchel,1932,1950,2,2015,60,60,959,712,9,9,9,9,9,9,6,5,0,786,0,173,959,959,712,0,1671
2629,Built-up  Area,3400000,950,Rohini Sector 9,3 BHK,Ready To Move,2,9,NAmes,1992,2000,7,2016,70,92,1236,872,9,9,9,9,9,9,6,7,0,626,0,501,1127,1236,872,0,2108
2630,Super built-up  Area,2250000,700,Uttam Nagar,3 BHK,Ready To Move,2,9,Somerst,1984,1985,7,2020,60,100,1831,1796,9,9,9,9,9,9,10,5,1378,1387,0,543,1930,1831,1796,0,3627
2631,Plot  Area,3300000,500,Uttam Nagar,4 Bedroom,Ready To Move,2,9,ClearCr,1926,2004,7,2020,80,134,1118,0,9,9,9,9,9,9,6,6,0,522,0,574,1096,1118,0,0,1118
2632,Super built-up  Area,4500000,700,Uttam Nagar,2 BHK,18-May,3,9,Crawfor,1921,1950,11,2020,20,NA,1261,0,9,9,9,9,9,9,6,6,0,662,0,599,1261,1261,0,0,1261
2633,Built-up  Area,4000000,800,Uttam Nagar,3 BHK,Ready To Move,1,9,NoRidge,1954,1954,3,2019,160,110,625,625,9,9,9,9,9,9,7,5,0,0,0,625,625,625,625,0,1250
2634,Super built-up  Area,2800000,750,Uttam Nagar,2 BHK,Ready To Move,1,9,Mitchel,1990,1991,3,2019,50,95,1636,971,9,9,9,9,9,9,5,6,0,152,469,977,1598,1636,971,479,3086
2635,Plot  Area,2600000,600,Uttam Nagar,3 Bedroom,Ready To Move,2,9,OldTown,2008,2008,7,2018,70,55,1170,1175,9,9,9,9,9,9,6,8,0,503,0,449,952,1170,1175,0,2345
2636,Plot  Area,3875000,550,Uttam Nagar,3 Bedroom,Ready To Move,3,9,Crawfor,1996,1996,4,2015,50,40,2129,743,9,9,9,9,9,9,8,5,337,700,0,983,1683,2129,743,0,2872
2637,Super built-up  Area,30000000,1000,Khanpur,2 BHK,21-Jul,2,9,Edwards,1920,1950,10,2014,20,62,923,0,9,9,9,9,9,9,5,5,0,658,0,218,876,923,0,0,923
2638,Super built-up  Area,13000000,1200,Azad Apartments,3 BHK,Ready To Move,2,9,Timber,1963,1963,12,2014,50,NA,818,406,9,9,9,9,9,9,6,8,0,468,0,350,818,818,406,0,1224
2639,Super built-up  Area,19000000,1000,Sector 4 Dwarka,2 BHK,Ready To Move,1,9,Crawfor,1924,1950,7,2017,50,86,820,523,9,9,9,9,9,9,5,6,0,0,0,731,731,820,523,0,1343
2640,Super built-up  Area,24000000,2250,Sector 12 Dwarka,3 BHK,19-Mar,1,9,NoRidge,1900,1970,4,2017,20,62,1124,0,9,9,9,9,9,9,5,5,0,0,0,0,0,1124,0,0,1124
2641,Built-up  Area,13000000,2800,Sector 19 Dwarka,2 BHK,Ready To Move,1,9,OldTown,1994,1995,4,2017,60,NA,1298,1216,9,9,9,9,9,9,7,5,0,1216,0,0,1216,1298,1216,0,2514
2642,Super built-up  Area,15500000,1300,Sector 19 Dwarka,2 BHK,Ready To Move,1,9,Timber,2002,2002,11,2018,120,NA,1652,0,9,9,9,9,9,9,8,5,186,1480,0,120,1600,1652,0,0,1652
2643,Super built-up  Area,23500000,2200,Sector 11 Dwarka,2 BHK,Ready To Move,2,9,Edwards,1999,1999,7,2018,60,141,2411,2065,9,9,9,9,9,9,10,5,0,2096,0,300,2396,2411,2065,0,4476
2644,Super built-up  Area,12500000,1900,Sector 10 Dwarka,3 BHK,Ready To Move,2,9,OldTown,1961,1975,6,2016,30,44,1130,0,9,9,9,9,9,9,5,6,0,821,0,299,1120,1130,0,0,1130
2645,Super built-up  Area,16500000,1843,Shanti Park Dwarka,2 BHK,18-Dec,3,9,NoRidge,1999,2000,5,2016,20,80,1572,0,9,9,9,9,9,9,5,4,226,1159,0,413,1572,1572,0,0,1572
2646,Super built-up  Area,30000000,1800,dwarka sector 13,3 BHK,Ready To Move,1,9,CollgCr,1925,1994,3,2015,50,47,949,272,9,9,9,9,9,9,5,7,0,392,0,392,784,949,272,0,1221
2647,Super built-up  Area,2300000,1450,Rohini sector 16,3 BHK,Ready To Move,1,9,Gilbert,1999,1999,8,2010,190,84,1014,685,9,9,9,9,9,9,3,5,0,440,0,538,978,1014,685,0,1699
2648,Super built-up  Area,255000000,450,Paryavaran Complex,2 BHK,Ready To Move,1,9,Mitchel,1969,1969,7,2011,20,97,1624,0,9,9,9,9,9,9,8,5,0,1456,0,168,1624,1624,0,0,1624
2649,Super built-up  Area,5975000,1850,Munirka,2 BHK,Ready To Move,2,9,Somerst,2005,2005,7,2011,60,NA,831,829,9,9,9,9,9,9,7,5,95,0,0,831,831,831,829,0,1660
2650,Plot  Area,14000000,640,Rohini sector 24,7 Bedroom,Ready To Move,2,9,OldTown,2006,2006,6,2012,60,63,1028,776,9,9,9,9,9,9,7,5,0,0,0,994,994,1028,776,0,1804
2651,Super built-up  Area,42500000,1450,Jasola,3 BHK,Ready To Move,2,9,Mitchel,1916,1950,3,2012,190,60,1622,0,9,9,9,9,9,9,4,4,149,1159,0,90,1249,1622,0,0,1622
2652,Super built-up  Area,6900000,1500,Som Vihar,2 BHK,21-Jan,2,9,Sawyer,2001,2001,11,2013,160,NA,764,677,9,9,9,9,9,9,8,5,456,0,0,776,776,764,677,0,1441
2653,Built-up  Area,11800000,850,Mayur Vihar Phase 2,2 BHK,Ready To Move,1,9,Gilbert,1963,1979,7,2020,50,54,842,630,9,9,9,9,9,9,5,8,0,0,0,702,702,842,630,0,1472
2654,Super built-up  Area,16500000,1200,Sector 4 Dwarka,2 BHK,Ready To Move,2,9,Gilbert,1970,1970,6,2020,120,60,1224,0,9,9,9,9,9,9,6,5,425,883,0,341,1224,1224,0,0,1224
2655,Plot  Area,7500000,1350,Block SD Delhi,4 Bedroom,Ready To Move,1,9,OldTown,1998,1998,3,2018,60,63,663,689,9,9,9,9,9,9,6,7,143,371,0,292,663,663,689,0,1352
2656,Super built-up  Area,30000000,1000,Mayur Vihar II,2 BHK,Ready To Move,2,9,CollgCr,1925,1997,7,2019,60,92,728,728,9,9,9,9,9,9,6,5,0,0,0,728,728,728,728,0,1456
2657,Built-up  Area,8800000,2400,Sector 22 Dwarka,2 BHK,Ready To Move,1,9,Sawyer,2000,2001,11,2020,60,90,879,984,9,9,9,9,9,9,7,5,0,0,0,879,879,879,984,0,1863
2658,Super built-up  Area,35500000,950,Sector 17 Dwarka,4 BHK,Ready To Move,2,9,NAmes,1975,1975,7,2020,75,NA,815,875,9,9,9,9,9,9,7,6,0,0,0,815,815,815,875,0,1690
2659,Super built-up  Area,5000000,3200,Sector 19 Dwarka,2 BHK,Ready To Move,2,9,CollgCr,1990,1991,6,2019,20,60,1212,0,9,9,9,9,9,9,7,5,0,0,0,1212,1212,1212,0,0,1212
2660,Super built-up  Area,4500000,1000,Uttam Nagar,2 BHK,Ready To Move,1,9,BrkSide,1966,1966,10,2018,20,64,1382,0,9,9,9,9,9,9,4,5,51,547,0,504,1051,1382,0,0,1382
2661,Super built-up  Area,2100000,900,Uttam Nagar,4 BHK,Ready To Move,2,9,CollgCr,2003,2003,7,2015,20,41,864,0,9,9,9,9,9,9,4,5,0,0,0,864,864,864,0,0,864
2662,Plot  Area,2000000,500,Uttam Nagar,2 Bedroom,Ready To Move,1,9,NWAmes,1962,1980,3,2016,60,70,866,913,9,9,9,9,9,9,7,5,0,0,0,866,866,866,913,0,1779
2663,Plot  Area,6000000,520,Uttam Nagar,4 Bedroom,Ready To Move,1,9,SawyerW,2006,2006,5,2020,50,NA,884,464,9,9,9,9,9,9,5,8,0,0,0,884,884,884,464,0,1348
2664,Plot  Area,2200000,1050,Uttam Nagar,4 Bedroom,Ready To Move,2,9,SawyerW,1992,1992,10,2020,20,68,1630,0,9,9,9,9,9,9,7,5,171,0,0,1630,1630,1630,0,0,1630
2665,Built-up  Area,6500000,510,Uttam Nagar,2 BHK,Ready To Move,1,9,CollgCr,1988,2005,7,2020,20,24,1074,0,9,9,9,9,9,9,5,6,0,788,0,268,1056,1074,0,0,1074
2666,Super built-up  Area,3500000,1100,Uttam Nagar,3 BHK,Ready To Move,2,9,NAmes,1941,1950,6,2019,20,60,2196,0,9,9,9,9,9,9,7,7,234,485,177,1496,2158,2196,0,0,2196
2667,Super built-up  Area,3100000,800,Uttam Nagar,3 BHK,Ready To Move,1,9,Somerst,1965,2001,11,2019,20,24,1056,0,9,9,9,9,9,9,4,4,0,1056,0,0,1056,1056,0,0,1056
2668,Super built-up  Area,2800000,750,Uttam Nagar,3 BHK,Ready To Move,2,9,SawyerW,1962,1962,5,2018,20,79,1700,0,9,9,9,9,9,9,6,5,120,340,0,1342,1682,1700,0,0,1700
2669,Super built-up  Area,16500000,600,Uttam Nagar,2 BHK,20-Dec,1,9,Gilbert,1966,1966,10,2015,20,174,1283,0,9,9,9,9,9,9,5,7,0,504,108,319,931,1283,0,0,1283
2670,Super built-up  Area,13899999,1150,Sheikh Sarai,2 BHK,Ready To Move,2,9,Edwards,1978,1978,5,2014,20,92,1660,0,9,9,9,9,9,9,8,5,420,1220,0,440,1660,1660,0,0,1660
2671,Super built-up  Area,9000000,1250,Munirka,3 BHK,Ready To Move,1,9,Sawyer,2009,2009,5,2014,60,76,1055,790,9,9,9,9,9,9,6,5,0,0,0,1055,1055,1055,790,0,1845
2672,Super built-up  Area,8900000,1500,Uttam Nagar,3 BHK,18-Apr,2,9,NAmes,1947,1950,6,2017,50,80,1080,672,9,9,9,9,9,9,8,7,0,427,0,132,559,1080,672,0,1752
2673,Super built-up  Area,4700000,1400,Uttam Nagar,3 BHK,Ready To Move,2,9,Sawyer,1971,1971,8,2017,30,75,672,0,9,9,9,9,9,9,4,6,0,344,0,328,672,672,0,0,672
2674,Super built-up  Area,2700000,820,Uttam Nagar,3 BHK,Ready To Move,2,9,Sawyer,1964,1964,5,2017,80,50,960,0,9,9,9,9,9,9,4,9,0,648,0,0,648,960,0,0,960
2675,Super built-up  Area,2400000,625,Uttam Nagar,3 BHK,Ready To Move,1,9,Somerst,1968,1968,5,2018,85,NA,999,0,9,9,9,9,9,9,5,5,0,784,0,141,925,999,0,0,999
2676,Plot  Area,7500000,525,Uttam Nagar,3 Bedroom,18-May,0,9,BrkSide,1949,1950,5,2018,20,50,894,0,9,9,9,9,9,9,5,5,0,180,374,340,894,894,0,0,894
2677,Super built-up  Area,3500000,1350,Uttam Nagar,2 BHK,Ready To Move,1,9,BrDale,1951,1951,4,2016,90,99,1318,584,9,9,9,9,9,9,6,5,0,0,0,0,0,1318,584,0,1902
2678,Built-up  Area,4200000,750,Uttam Nagar,3 BHK,18-Dec,1,9,NAmes,2004,2005,9,2016,20,40,1314,0,9,9,9,9,9,9,8,5,72,936,0,364,1300,1314,0,0,1314
2679,Plot  Area,10000000,850,Uttam Nagar,3 Bedroom,Ready To Move,2,9,Sawyer,1958,1958,7,2015,50,NA,672,240,9,9,9,9,9,9,4,5,0,0,0,0,0,672,240,0,912
2680,Super built-up  Area,10800000,900,West Punjabi Bagh,2 BHK,Ready To Move,2,9,NAmes,2007,2007,4,2010,160,NA,672,546,9,9,9,9,9,9,6,5,236,0,0,672,672,672,546,0,1218
2681,Plot  Area,3600000,1300,Sector 22 Rohini,3 Bedroom,Ready To Move,1,9,NAmes,1965,2008,11,2011,20,75,912,0,9,9,9,9,9,9,5,5,0,312,600,0,912,912,0,0,912
2682,Super built-up  Area,9000000,900,Sector 22 Rohini,1 BHK,21-Dec,1,9,Gilbert,2008,2008,8,2011,20,67,1211,0,9,9,9,9,9,9,5,5,0,250,492,210,952,1211,0,0,1211
2683,Super built-up  Area,8700000,1100,Sector 22 Rohini,3 BHK,21-May,1,9,NAmes,1960,1960,1,2012,50,83,1168,678,9,9,9,9,9,9,6,6,320,196,0,844,1040,1168,678,0,1846
2684,Super built-up  Area,4000000,1100,Sector 22 Rohini,2 BHK,Ready To Move,1,9,Somerst,1977,1977,10,2012,20,72,2136,0,9,9,9,9,9,9,5,3,44,756,0,1380,2136,2136,0,0,2136
2685,Super built-up  Area,13000000,700,Sector 22 Rohini,2 BHK,Ready To Move,2,9,NAmes,1962,1962,2,2013,60,43,788,702,9,9,9,9,9,9,7,5,0,724,0,64,788,788,702,0,1490
2686,Super built-up  Area,9500000,1400,Sector 22 Rohini,3 BHK,19-Mar,2,9,NridgHt,1962,1962,6,2020,80,NA,1138,0,9,9,9,9,9,9,6,8,63,507,0,81,588,1138,0,0,1138
2687,Super built-up  Area,2600000,1200,Sector 22 Rohini,3 BHK,Ready To Move,2,9,NAmes,1959,1959,1,2020,60,72,894,1039,9,9,9,9,9,9,6,5,74,0,0,894,894,894,1039,0,1933
2688,Super built-up  Area,2300000,500,Sector 22 Rohini,2 BHK,Ready To Move,1,9,Sawyer,1911,1950,12,2018,20,65,912,0,9,9,9,9,9,9,5,8,300,595,0,317,912,912,0,0,912
2689,Super built-up  Area,17000000,500,Sector 22 Rohini,2 BHK,Ready To Move,2,9,NAmes,1914,1950,10,2019,120,57,1702,0,9,9,9,9,9,9,9,5,766,1540,0,162,1702,1702,0,0,1702
2690,Super built-up  Area,5000000,1550,Sector 22 Rohini,2 BHK,18-Apr,1,9,NAmes,2003,2003,8,2020,80,NA,1507,0,9,9,9,9,9,9,5,5,0,666,0,409,1075,1507,0,0,1507
2691,Built-up  Area,3800000,1200,Sector 22 Rohini,3 BHK,Ready To Move,1,9,NAmes,2004,2005,8,2020,90,43,1361,1259,9,9,9,9,9,9,5,5,1,498,211,652,1361,1361,1259,0,2620
2692,Super built-up  Area,3400000,650,Sector 22 Rohini,2 BHK,Ready To Move,2,9,SWISU,2005,2005,5,2019,90,73,1190,0,9,9,9,9,9,9,5,6,120,803,0,303,1106,1190,0,0,1190
2693,Super built-up  Area,15500000,600,Sector 22 Rohini,2 BHK,Ready To Move,2,9,Crawfor,2006,2006,3,2018,90,NA,1224,0,9,9,9,9,9,9,4,5,0,0,0,0,0,1224,0,0,1224
2694,Super built-up  Area,18500000,1700,Sector 4 Dwarka,2 BHK,Ready To Move,1,9,NridgHt,2003,2003,5,2015,20,85,1188,0,9,9,9,9,9,9,5,5,180,1000,0,188,1188,1188,0,0,1188
2695,Plot  Area,9000000,1600,Sector 7 Dwarka,4 Bedroom,Ready To Move,2,9,CollgCr,2007,2007,11,2016,70,70,1024,940,9,9,9,9,9,9,5,6,0,0,0,940,940,1024,940,0,1964
2696,Super built-up  Area,15500000,850,Sector 17 Dwarka,2 BHK,Ready To Move,1,9,SawyerW,1974,1974,7,2020,70,103,892,892,9,9,9,9,9,9,5,5,0,0,0,747,747,892,892,0,1784
2697,Super built-up  Area,33500000,1600,Sector 12 Dwarka,3 BHK,Ready To Move,1,9,Timber,2006,2006,6,2020,160,21,764,862,9,9,9,9,9,9,7,5,106,0,0,764,764,764,862,0,1626
2698,Super built-up  Area,5000000,2590,Civil Lines,2 BHK,Ready To Move,1,9,CollgCr,1929,1950,9,2020,60,82,847,1101,9,9,9,9,9,9,7,5,0,0,0,847,847,847,1101,0,1948
2699,Super built-up  Area,4000000,1000,Dwarka Mor,2 BHK,Ready To Move,2,9,Somerst,1984,2003,3,2019,20,21,1141,0,9,9,9,9,9,9,6,5,0,0,0,1141,1141,1141,0,0,1141
2700,Super built-up  Area,2000000,900,Dwarka Mor,2 BHK,Ready To Move,2,9,NWAmes,2005,2006,12,2019,20,70,1484,0,9,9,9,9,9,9,8,5,32,428,0,1048,1476,1484,0,0,1484
2701,Super built-up  Area,3000000,500,Dwarka Mor,3 BHK,18-Dec,1,9,NridgHt,1976,1976,7,2018,60,43,884,884,9,9,9,9,9,9,7,5,252,550,0,334,884,884,884,0,1768
2702,Super built-up  Area,2600000,750,Dwarka Mor,2 BHK,Ready To Move,2,9,Crawfor,1917,1950,6,2015,20,73,1689,0,9,9,9,9,9,9,7,6,0,0,0,1689,1689,1689,0,0,1689
2703,Super built-up  Area,3500000,650,Dwarka Mor,1 BHK,Ready To Move,2,9,NWAmes,1950,1950,1,2014,85,174,1173,0,9,9,9,9,9,9,7,6,81,885,168,0,1053,1173,0,0,1173
2704,Super built-up  Area,2500000,850,Dwarka Mor,3 BHK,Ready To Move,2,9,Somerst,1968,1968,9,2014,20,21,2076,0,9,9,9,9,9,9,10,5,NA,1386,0,690,2076,2076,0,0,2076
2705,Super built-up  Area,34500000,600,Dwarka Mor,3 BHK,18-Dec,2,9,Mitchel,2003,2003,6,2017,70,75,792,725,9,9,9,9,9,9,8,7,0,0,0,792,792,792,725,0,1517
2706,Super built-up  Area,35500000,1650,Pitampura,2 BHK,Ready To Move,2,9,OldTown,1968,1968,1,2017,80,NA,1140,728,9,9,9,9,9,9,6,7,74,0,0,585,585,1140,728,0,1868
2707,Super built-up  Area,22500000,3600,Pitampura,3 BHK,Ready To Move,1,9,NAmes,1974,2003,3,2017,60,21,756,797,9,9,9,9,9,9,7,5,0,0,0,756,756,756,797,0,1553
2708,Super built-up  Area,4000000,1400,Pitampura,2 BHK,Ready To Move,3,9,NAmes,2003,2004,5,2018,80,65,1034,0,9,9,9,9,9,9,6,5,335,539,0,473,1012,1034,0,0,1034
2709,Super built-up  Area,12000000,820,Model Town,3 BHK,Ready To Move,2,9,NridgHt,1931,1950,4,2018,75,NA,1134,924,9,9,9,9,9,9,6,5,0,319,0,416,735,1134,924,0,2058
2710,Super built-up  Area,51000000,1114,Paryavaran Complex,3 BHK,Ready To Move,1,9,Mitchel,1994,1994,5,2016,20,93,988,0,9,9,9,9,9,9,5,7,0,534,96,246,876,988,0,0,988
2711,Super built-up  Area,15400000,2300,i p extension patparganj,3 BHK,Ready To Move,1,9,Veenker,1922,1950,4,2016,20,52,2110,0,9,9,9,9,9,9,7,5,0,1065,0,1045,2110,2110,0,0,2110
2712,Built-up  Area,4000000,1250,Munirka,3 BHK,Ready To Move,1,9,Edwards,2005,2005,3,2015,120,75,1405,0,9,9,9,9,9,9,7,5,163,0,0,1405,1405,1405,0,0,1405
