id,area_type,price,total_sqft,location,size,availability,balcony,society,bath,YearBuilt,YearRemodAdd,MoSold,YrSold,MSSubClass,LotFrontage,1stFlrSF,2ndFlrSF,Gymnasium,SwimmingPool,ShoppingMall,SportsFacility,ATM,School,Hospital,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,KitchenAbvGr
3277,Super built-up  Area,9250000,2500,Tangra,3 BHK,21-Jun,9,Edwards,1,1978,2000,11,2020,20,91,1167,0,9,9,9,9,9,9,9,560,0,598,1158,1167,0,0,1167,1
3278,Super built-up  Area,7400000,2000,Patuli,2 BHK,Ready To Move,9,BrDale,1,1999,1959,10,2020,20,75,1142,0,9,9,9,9,9,9,9,874,0,268,1142,1142,0,0,1142,1
3279,Built-up  Area,4810000,1300,Garia,1 BHK,Ready To Move,9,NWAmes,2,1995,1984,12,2019,70,144,1352,0,9,9,9,9,9,9,9,300,294,468,1062,1352,0,0,1352,1
3280,Super built-up  Area,16650000,4500,Tangra,3 BHK,Ready To Move,9,IDOTRR,2,1959,1953,7,2018,120,85,1086,838,9,9,9,9,9,9,9,956,0,130,1086,1086,838,0,1924,1
3281,Super built-up  Area,5920000,1600,Sealdah,2 BHK,Ready To Move,9,NAmes,1,1924,2004,8,2015,20,90,912,0,9,9,9,9,9,9,9,773,0,115,888,912,0,0,912,1
3282,Super built-up  Area,3700000,1000,Keshtopur,3 BHK,Ready To Move,9,NAmes,1,2009,1950,7,2016,20,78,988,517,9,9,9,9,9,9,9,399,0,484,883,988,517,0,1505,1
3283,Plot  Area,6031000,1630,Baranagar,5 Bedroom,Ready To Move,9,NAmes,2,1999,1996,5,2020,20,NA,495,1427,9,9,9,9,9,9,9,0,0,0,0,495,1427,0,1922,1
3284,Super built-up  Area,7400000,2000,Uttarpara Kotrung,3 BHK,Ready To Move,9,NAmes,1,1995,2005,6,2020,20,66,483,504,9,9,9,9,9,9,9,162,0,321,483,483,504,0,987,1
3285,Super built-up  Area,5920000,1600,Uttarpara Kotrung,2 BHK,Ready To Move,9,Gilbert,1,2008,2010,3,2020,190,75,790,784,9,9,9,9,9,9,9,712,0,84,796,790,784,0,1574,1
3286,Plot  Area,4995000,1350,Bally Khal,4 Bedroom,18-May,9,ClearCr,3,1988,2000,3,2019,180,45,672,672,9,9,9,9,9,9,9,456,0,216,672,672,672,0,1344,1
3287,Built-up  Area,5550000,1500,Ghosh Para,4 Bedroom,Ready To Move,9,SawyerW,1,1940,1950,8,2019,160,48,1394,0,9,9,9,9,9,9,9,609,0,785,1394,1394,0,0,1394,1
3288,Super built-up  Area,5920000,1600,Uttarpara Kotrung,2 BHK,18-May,9,NAmes,2,2004,2006,4,2018,50,NA,1431,0,9,9,9,9,9,9,9,371,0,728,1099,1431,0,0,1431,1
3289,Plot  Area,10730000,2900,Uttarpara Kotrung,3 Bedroom,18-Feb,9,CollgCr,1,2003,2006,6,2015,60,NA,1268,0,9,9,9,9,9,9,9,540,0,728,1268,1268,0,0,1268,1
3290,Built-up  Area,4440000,1200,Budge Budge,3 BHK,Ready To Move,9,Edwards,1,1982,1950,1,2014,20,80,1287,0,9,9,9,9,9,9,9,72,258,733,1063,1287,0,0,1287,1
3291,Super built-up  Area,8343500,2255,Buroshibtalla,3 BHK,18-Mar,9,CollgCr,1,1951,1992,6,2014,30,44,953,711,9,9,9,9,9,9,9,0,0,953,953,953,711,0,1664,1
3292,Plot  Area,5180000,1400,Behala,5 Bedroom,Ready To Move,9,Somerst,1,1976,2005,3,2017,30,72,1120,468,9,9,9,9,9,9,9,0,0,0,0,1120,468,0,1588,1
3293,Super built-up  Area,5550000,1500,Behala,2 BHK,Ready To Move,9,StoneBr,1,1958,1996,12,2017,20,60,752,0,9,9,9,9,9,9,9,623,121,0,744,752,0,0,752,1
3294,Built-up  Area,5920000,1600,Behala,4 Bedroom,Ready To Move,9,Gilbert,2,2006,1976,8,2017,50,NA,1319,0,9,9,9,9,9,9,9,428,180,0,608,1319,0,0,1319,1
3295,Super built-up  Area,9990000,2700,Behala,2 BHK,Ready To Move,9,SWISU,2,1998,2000,3,2018,20,60,847,1081,9,9,9,9,9,9,9,0,0,847,847,847,1081,0,1928,1
3296,Super built-up  Area,4440000,1200,Murali,2 BHK,Ready To Move,9,Somerst,1,2005,2008,11,2018,20,81,904,0,9,9,9,9,9,9,9,350,0,333,683,904,0,0,904,1
3297,Super built-up  Area,17020000,4600,Garia,3 BHK,Ready To Move,9,CollgCr,1,1974,1950,4,2016,160,114,914,0,9,9,9,9,9,9,9,298,0,572,870,914,0,0,914,1
3298,Plot  Area,6105000,1650,Garia,6 Bedroom,Ready To Move,9,SawyerW,2,1977,2002,7,2016,60,50,1580,886,9,9,9,9,9,9,9,0,0,1580,1580,1580,886,0,2466,1
3299,Built-up  Area,20424000,5520,Sonarpur,2 BHK,Ready To Move,9,ClearCr,0,1977,1959,11,2015,20,65,1856,0,9,9,9,9,9,9,9,1445,0,411,1856,1856,0,0,1856,1
3300,Super built-up  Area,14430000,3900,Barisha Purba Para Road,2 BHK,19-Oct,9,Blmngtn,1,1995,1950,6,2010,20,NA,1007,793,9,9,9,9,9,9,9,0,0,982,982,1007,793,0,1800,1
3301,Super built-up  Area,6660000,1800,Keshtopur,4 BHK,18-May,9,Edwards,3,1992,1950,2,2011,160,24,1026,665,9,9,9,9,9,9,9,218,0,808,1026,1026,665,0,1691,1
3302,Super built-up  Area,16650000,4500,Budge Budge,2 BHK,Ready To Move,9,Edwards,1,2001,1956,6,2011,90,80,1301,0,9,9,9,9,9,9,9,0,0,1293,1293,1301,0,0,1301,1
3303,Plot  Area,5738700,1551,Baguiati,3 Bedroom,Ready To Move,9,CollgCr,2,1978,1972,5,2012,60,30,939,858,9,9,9,9,9,9,9,0,0,939,939,939,858,0,1797,1
3304,Super built-up  Area,5920000,1600,Behala,3 BHK,Ready To Move,9,NridgHt,2,1914,1962,9,2012,20,44,784,0,9,9,9,9,9,9,9,0,0,784,784,784,0,0,784,1
3305,Built-up  Area,7233500,1955,Ballygunge,2 BHK,Ready To Move,9,Edwards,2,1967,1950,8,2013,70,100,1079,874,9,9,9,9,9,9,9,985,0,595,1580,1079,874,0,1953,1
3306,Super built-up  Area,5735000,1550,Ballygunge,3 BHK,Ready To Move,9,Mitchel,2,1915,2007,7,2020,20,75,1269,0,9,9,9,9,9,9,9,24,0,1232,1256,1269,0,0,1269,1
3307,Built-up  Area,17834000,4820,Bansdroni,3 BHK,Ready To Move,9,NAmes,1,2004,1996,9,2020,20,60,658,526,9,9,9,9,9,9,9,0,0,658,658,658,526,0,1184,1
3308,Super built-up  Area,6819100,1843,Behala,3 BHK,Ready To Move,9,BrkSide,2,1954,2005,3,2018,120,90,1125,0,9,9,9,9,9,9,9,631,0,410,1041,1125,0,0,1125,1
3309,Built-up  Area,13468000,3640,Sant Nagar,2 BHK,Ready To Move,9,OldTown,2,1966,1997,7,2019,20,21,1479,0,9,9,9,9,9,9,9,0,0,1468,1468,1479,0,0,1479,1
3310,Super built-up  Area,11100000,3000,Sant Nagar,3 BHK,Ready To Move,9,Edwards,1,2005,1998,9,2020,20,75,1742,590,9,9,9,9,9,9,9,1280,0,402,1682,1742,590,0,2332,1
3311,Built-up  Area,16650000,4500,Keshtopur,2 BHK,Ready To Move,9,CollgCr,1,1976,1996,8,2020,45,70,961,406,9,9,9,9,9,9,9,241,391,229,861,961,406,0,1367,1
3312,Super built-up  Area,4810000,1300,Hussainpur,2 BHK,Ready To Move,9,NAmes,2,1996,1993,7,2019,20,NA,804,1157,9,9,9,9,9,9,9,690,0,114,804,804,1157,0,1961,1
3313,Super built-up  Area,3700000,1000,Behala,2 BHK,Ready To Move,9,IDOTRR,2,2007,1950,6,2018,80,60,882,0,9,9,9,9,9,9,9,0,0,0,0,882,0,0,882,1
3314,Built-up  Area,7400000,2000,Garia,3 BHK,Ready To Move,9,Somerst,1,1994,1976,4,2015,60,82,788,0,9,9,9,9,9,9,9,266,0,522,788,788,0,0,788,1
3315,Super built-up  Area,6290000,1700,Budge Budge,2 BHK,Ready To Move,9,Veenker,2,1980,2006,10,2016,60,80,735,299,9,9,9,9,9,9,9,0,0,735,735,735,299,0,1034,1
3316,Plot  Area,6660000,1800,Behala,3 Bedroom,17-Jun,9,CollgCr,1,1977,2008,1,2020,70,100,1144,0,9,9,9,9,9,9,9,739,0,405,1144,1144,0,0,1144,1
3317,Super built-up  Area,4440000,1200,Murali,3 BHK,21-Mar,9,Sawyer,1,1953,1958,3,2020,190,NA,894,0,9,9,9,9,9,9,9,777,0,117,894,894,0,0,894,1
3318,Built-up  Area,4440000,1200,Garia,6 Bedroom,Ready To Move,9,NoRidge,1,2008,1955,8,2020,20,75,876,936,9,9,9,9,9,9,9,540,0,324,864,876,936,0,1812,1
3319,Super built-up  Area,6290000,1700,Garia,3 BHK,Ready To Move,9,Gilbert,1,1937,2009,4,2019,50,36,1077,0,9,9,9,9,9,9,9,0,0,961,961,1077,0,0,1077,1
3320,Super built-up  Area,6105000,1650,Sonarpur,3 BHK,Ready To Move,9,Sawyer,1,1997,1950,9,2019,60,75,1112,438,9,9,9,9,9,9,9,812,0,280,1092,1112,438,0,1550,1
3321,Super built-up  Area,5550000,1500,Behala,3 BHK,Ready To Move,9,SWISU,2,1916,1993,6,2018,60,80,1288,0,9,9,9,9,9,9,9,786,0,474,1260,1288,0,0,1288,1
3322,Super built-up  Area,9250000,2500,Budge Budge,2 BHK,Ready To Move,9,Crawfor,1,2005,2007,6,2015,20,36,1310,0,9,9,9,9,9,9,9,24,0,1286,1310,1310,0,0,1310,1
3323,Super built-up  Area,9250000,2500,New Town,2 BHK,Ready To Move,9,NridgHt,2,2008,1978,7,2014,20,NA,672,0,9,9,9,9,9,9,9,0,0,672,672,672,0,0,672,1
3324,Super built-up  Area,9102000,2460,New Town,2 BHK,Ready To Move,9,Somerst,1,1954,1950,11,2014,60,53,1165,1098,9,9,9,9,9,9,9,0,0,1141,1141,1165,1098,0,2263,1
3325,Super built-up  Area,10360000,2800,New Town,2 BHK,18-Apr,9,Edwards,2,2008,1950,6,2017,30,NA,806,766,9,9,9,9,9,9,9,0,0,806,806,806,766,0,1572,1
3326,Super built-up  Area,9124200,2466,New Town,3 BHK,Ready To Move,9,Gilbert,1,1967,1968,7,2017,20,102,1620,0,9,9,9,9,9,9,9,1116,0,165,1281,1620,0,0,1620,1
3327,Built-up  Area,6105000,1650,New Town,2 BHK,Ready To Move,9,Somerst,2,1923,1998,6,2017,80,NA,1166,0,9,9,9,9,9,9,9,0,0,1064,1064,1166,0,473,1639,1
3328,Super built-up  Area,2997000,810,Sodepur,2 BHK,18-May,9,OldTown,2,1966,2000,6,2018,70,NA,840,840,9,9,9,9,9,9,9,0,0,840,840,840,840,0,1680,1
3329,Plot  Area,4625000,1250,Keshtopur,3 Bedroom,Ready To Move,9,SawyerW,2,1898,1954,6,2018,20,65,1071,1101,9,9,9,9,9,9,9,0,0,1063,1063,1071,1101,0,2172,1
3330,Built-up  Area,13519800,3654,New Town,3 BHK,Ready To Move,9,Gilbert,1,1974,1998,12,2016,20,80,1050,1028,9,9,9,9,9,9,9,789,0,245,1034,1050,1028,0,2078,1
3331,Super built-up  Area,14060000,3800,New Town,3 BHK,Ready To Move,9,Sawyer,2,2004,1956,7,2016,60,NA,1276,0,9,9,9,9,9,9,9,0,0,1276,1276,1276,0,0,1276,1
3332,Super built-up  Area,5387200,1456,Boral,2 BHK,Ready To Move,9,Crawfor,2,1952,1992,6,2015,190,55,1056,0,9,9,9,9,9,9,9,1056,0,0,1056,1056,0,0,1056,1
3333,Super built-up  Area,9087200,2456,New Town,3 BHK,Ready To Move,9,Edwards,2,1958,1989,7,2010,60,75,1478,0,9,9,9,9,9,9,9,578,0,892,1470,1478,0,0,1478,1
3334,Super built-up  Area,13519800,3654,Behala,2 BHK,Ready To Move,9,NAmes,1,1918,1957,9,2011,20,81,1028,0,9,9,9,9,9,9,9,0,0,1008,1008,1028,0,0,1028,1
3335,Super built-up  Area,8325000,2250,Kamalgazi,3 BHK,Ready To Move,9,Mitchel,1,1998,2007,5,2011,20,70,1080,1017,9,9,9,9,9,9,9,50,531,499,1080,1080,1017,0,2097,1
3336,Super built-up  Area,16650000,4500,Sodepur,2 BHK,Ready To Move,9,NWAmes,2,1954,1988,3,2012,20,72,1340,0,9,9,9,9,9,9,9,24,0,1316,1340,1340,0,0,1340,1
3337,Super built-up  Area,7400000,2000,Behala,1 BHK,19-Dec,9,Mitchel,1,2002,1971,6,2012,20,NA,672,728,9,9,9,9,9,9,9,209,0,463,672,672,728,0,1400,1
3338,Super built-up  Area,5920000,1600,Joka,2 BHK,Ready To Move,9,NoRidge,2,1971,1998,7,2013,60,67,1370,1254,9,9,9,9,9,9,9,1128,0,242,1370,1370,1254,0,2624,1
3339,Super built-up  Area,18500000,5000,Joka,3 BHK,18-Dec,9,NAmes,2,2009,1971,12,2020,20,85,756,378,9,9,9,9,9,9,9,312,0,444,756,756,378,0,1134,1
3340,Built-up  Area,20350000,5500,Joka,3 BHK,Ready To Move,9,OldTown,1,2003,1998,4,2020,120,NA,1056,0,9,9,9,9,9,9,9,775,0,281,1056,1056,0,0,1056,1
3341,Super built-up  Area,16650000,4500,Thakurpukur,3 BHK,18-Nov,9,SawyerW,2,1953,1972,12,2018,60,80,1344,0,9,9,9,9,9,9,9,1309,0,35,1344,1344,0,0,1344,2
3342,Carpet  Area,12950000,3500,Garia,2 BHK,Ready To Move,9,NAmes,1,2003,1996,8,2019,50,60,1602,0,9,9,9,9,9,9,9,1246,0,356,1602,1602,0,0,1602,1
3343,Plot  Area,4440000,1200,Ultadanga,3 Bedroom,Ready To Move,9,CollgCr,1,1940,1950,8,2020,50,70,988,0,9,9,9,9,9,9,9,0,0,988,988,988,0,0,988,1
3344,Built-up  Area,3700000,1000,Ultadanga,4 Bedroom,18-Feb,9,Timber,2,2006,2004,5,2020,85,74,1470,1160,9,9,9,9,9,9,9,986,0,484,1470,1470,1160,0,2630,1
3345,Super built-up  Area,4995000,1350,Keshtopur,3 BHK,Ready To Move,9,BrDale,2,2007,2002,4,2019,20,60,1196,0,9,9,9,9,9,9,9,616,0,580,1196,1196,0,0,1196,1
3346,Plot  Area,5309500,1435,Keshtopur,3 Bedroom,18-Dec,9,OldTown,1,1924,2000,6,2018,60,52,707,682,9,9,9,9,9,9,9,0,0,651,651,707,682,0,1389,1
3347,Super built-up  Area,7030000,1900,New Town,3 BHK,Ready To Move,9,BrDale,2,2001,2008,5,2015,120,75,1644,0,9,9,9,9,9,9,9,1518,0,0,1518,1644,0,0,1644,1
3348,Super built-up  Area,6660000,1800,Barisha Purba Para Road,3 BHK,21-Dec,9,Gilbert,1,1967,1955,6,2016,20,94,907,0,9,9,9,9,9,9,9,288,0,619,907,907,0,0,907,1
3349,Built-up  Area,5550000,1500,Narendrapur,2 BHK,Ready To Move,9,MeadowV,1,2005,1992,6,2020,20,74,1208,0,9,9,9,9,9,9,9,664,0,544,1208,1208,0,0,1208,1
3350,Super built-up  Area,6660000,1800,Kustia,3 BHK,19-Dec,9,CollgCr,2,1957,2007,11,2020,20,88,1412,0,9,9,9,9,9,9,9,1005,0,387,1392,1412,0,0,1412,1
3351,Super built-up  Area,3700000,1000,New Alipore,2 BHK,18-Jul,9,OldTown,1,2005,1995,6,2020,60,NA,483,504,9,9,9,9,9,9,9,387,0,96,483,483,504,0,987,1
3352,Super built-up  Area,4810000,1300,New Town,3 BHK,19-Dec,9,BrkSide,2,2003,1956,7,2019,45,60,1088,110,9,9,9,9,9,9,9,0,0,901,901,1088,110,0,1198,1
3353,Built-up  Area,11100000,3000,Barisha Purba Para Road,3 BHK,Ready To Move,9,Crawfor,2,1964,2002,8,2019,20,44,765,600,9,9,9,9,9,9,9,471,0,294,765,765,600,0,1365,1
3354,Super built-up  Area,5550000,1500,Ballygunge,2 BHK,Ready To Move,9,Edwards,1,1961,1999,7,2018,50,NA,926,678,9,9,9,9,9,9,9,0,0,926,926,926,678,0,1604,1
3355,Super built-up  Area,6660000,1800,Botanical Garden Area,5 BHK,Ready To Move,9,NridgHt,1,1950,1950,4,2015,60,60,630,0,9,9,9,9,9,9,9,495,0,135,630,630,0,0,630,1
3356,Super built-up  Area,7400000,2000,Keshtopur,2 BHK,Ready To Move,9,Edwards,1,1948,2002,3,2014,120,65,827,834,9,9,9,9,9,9,9,385,344,70,799,827,834,0,1661,1
3357,Super built-up  Area,18500000,5000,Garia,4 BHK,Ready To Move,9,BrkSide,2,1973,2005,9,2014,20,50,734,384,9,9,9,9,9,9,9,0,0,648,648,734,384,0,1118,1
3358,Plot  Area,9250000,2500,Budge Budge,4 Bedroom,Ready To Move,9,Blmngtn,1,1995,1975,3,2017,20,70,904,0,9,9,9,9,9,9,9,0,0,884,884,904,0,0,904,1
3359,Super built-up  Area,5550000,1500,Budge Budge,3 BHK,18-Jul,9,CollgCr,2,1946,1997,3,2017,30,59,694,0,9,9,9,9,9,9,9,365,0,75,440,694,0,0,694,1
3360,Super built-up  Area,4810000,1300,New Town,2 BHK,18-Dec,9,Edwards,1,1925,2008,8,2017,50,95,684,512,9,9,9,9,9,9,9,0,0,684,684,684,512,0,1196,1
3361,Super built-up  Area,3885000,1050,New Town,2 BHK,18-Aug,9,NAmes,1,1904,1976,6,2018,60,128,2402,0,9,9,9,9,9,9,9,1767,539,788,3094,2402,0,0,2402,1
3362,Super built-up  Area,5920000,1600,birati,3 BHK,Ready To Move,9,Gilbert,1,1966,1973,5,2018,70,60,1440,0,9,9,9,9,9,9,9,133,0,1307,1440,1440,0,0,1440,2
3363,Super built-up  Area,4440000,1200,Patuli,2 BHK,Ready To Move,9,IDOTRR,1,1961,1950,3,2016,60,70,1128,445,9,9,9,9,9,9,9,0,0,1078,1078,1128,445,0,1573,1
3364,Super built-up  Area,12950000,3500,Haltu,3 BHK,Ready To Move,9,OldTown,2,1915,1994,7,2016,20,70,1258,0,9,9,9,9,9,9,9,0,0,1258,1258,1258,0,0,1258,1
3365,Super built-up  Area,4995000,1350,Haltu,1 BHK,19-Dec,9,OldTown,2,1975,1996,6,2015,50,NA,933,975,9,9,9,9,9,9,9,642,0,273,915,933,975,0,1908,1
3366,Super built-up  Area,16095000,4350,Haltu,3 BHK,18-May,9,ClearCr,2,1993,1950,2,2010,90,64,1689,0,9,9,9,9,9,9,9,0,0,1436,1436,1689,0,0,1689,1
3367,Super built-up  Area,7030000,1900,Haltu,3 BHK,Ready To Move,9,Timber,2,1972,2009,5,2011,90,71,1888,0,9,9,9,9,9,9,9,247,713,557,1517,1888,0,0,1888,1
3368,Super built-up  Area,6660000,1800,Haltu,4 BHK,Ready To Move,9,Somerst,2,1908,2007,5,2011,20,50,956,930,9,9,9,9,9,9,9,0,0,930,930,956,930,0,1886,1
3369,Super built-up  Area,12950000,3500,Haltu,1 BHK,19-Mar,9,Mitchel,1,1976,1965,6,2012,60,64,780,596,9,9,9,9,9,9,9,0,0,780,780,780,596,0,1376,1
3370,Built-up  Area,17760000,4800,Haltu,3 BHK,Ready To Move,9,NWAmes,2,2003,1995,8,2012,80,100,679,504,9,9,9,9,9,9,9,331,0,318,649,679,504,0,1183,1
3371,Super built-up  Area,18500000,5000,Garia,3 BHK,Ready To Move,9,OldTown,2,2003,1978,5,2013,80,65,813,0,9,9,9,9,9,9,9,0,0,813,813,813,0,0,813,1
3372,Super built-up  Area,4810000,1300,Garia,2 BHK,19-Dec,9,ClearCr,2,1941,2004,6,2020,50,NA,1533,0,9,9,9,9,9,9,9,655,0,878,1533,1533,0,0,1533,1
3373,Super built-up  Area,7400000,2000,Garia,3 BHK,Ready To Move,9,OldTown,1,1964,1970,12,2020,50,64,888,868,9,9,9,9,9,9,9,742,0,130,872,888,868,0,1756,1
3374,Super built-up  Area,4654600,1258,Garia,2 BHK,Ready To Move,9,BrkSide,1,1955,1995,11,2018,80,63,786,804,9,9,9,9,9,9,9,0,0,768,768,786,804,0,1590,1
3375,Super built-up  Area,6660000,1800,Keshtopur,2 BHK,18-May,9,Somerst,2,1962,2006,5,2019,160,50,1728,0,9,9,9,9,9,9,9,1606,0,122,1728,1728,0,0,1728,2
3376,Super built-up  Area,5920000,1600,Baguiati,3 BHK,Ready To Move,9,SWISU,2,1978,1993,6,2020,50,NA,1242,0,9,9,9,9,9,9,9,916,0,326,1242,1242,0,0,1242,1
3377,Super built-up  Area,5124500,1385,Garia,1 BHK,Ready To Move,9,Sawyer,2,1994,1985,6,2020,20,80,624,720,9,9,9,9,9,9,9,0,0,624,624,624,720,0,1344,1
3378,Super built-up  Area,9250000,2500,Keshtopur,5 BHK,Ready To Move,9,Crawfor,2,1976,1977,6,2019,20,116,1663,0,9,9,9,9,9,9,9,1116,0,248,1364,1663,0,0,1663,1
3379,Super built-up  Area,7400000,2000,Paschim Putiary,2 BHK,Ready To Move,9,CollgCr,1,1968,2005,5,2018,90,86,833,833,9,9,9,9,9,9,9,0,0,588,588,833,833,0,1666,1
3380,Super built-up  Area,4810000,1300,Behala,19 BHK,Ready To Move,9,Blmngtn,1,1918,2007,2,2015,75,NA,979,224,9,9,9,9,9,9,9,185,0,524,709,979,224,0,1203,1
3381,Plot  Area,16650000,4500,Budge Budge,3 Bedroom,Ready To Move,9,NAmes,1,1965,2000,4,2016,50,149,832,1103,9,9,9,9,9,9,9,544,0,288,832,832,1103,0,1935,1
3382,Built-up  Area,5920000,1600,New Town,2 BHK,Ready To Move,9,NAmes,1,1984,1963,3,2020,20,80,575,560,9,9,9,9,9,9,9,350,210,0,560,575,560,0,1135,1
3383,Super built-up  Area,3700000,1000,New Town,3 BHK,Ready To Move,9,NridgHt,1,1959,1998,6,2020,30,NA,864,0,9,9,9,9,9,9,9,553,311,0,864,864,0,0,864,1
3384,Super built-up  Area,6031000,1630,New Town,3 BHK,18-Dec,9,SawyerW,2,2007,2006,7,2020,85,51,849,811,9,9,9,9,9,9,9,326,0,389,715,849,811,0,1660,1
3385,Super built-up  Area,7400000,2000,New Town,2 BHK,Ready To Move,9,StoneBr,1,1970,2008,9,2019,20,82,1040,0,9,9,9,9,9,9,9,616,0,424,1040,1040,0,0,1040,1
3386,Super built-up  Area,5920000,1600,Keshtopur,3 BHK,Ready To Move,9,NWAmes,1,2006,2000,9,2019,40,30,1414,0,9,9,9,9,9,9,9,0,0,1375,1375,1414,0,0,1414,1
3387,Super built-up  Area,13230000,1350,Boral,3 BHK,Ready To Move,9,Edwards,1,1961,2005,10,2018,60,21,1277,0,9,9,9,9,9,9,9,778,0,499,1277,1277,0,0,1277,1
3388,Super built-up  Area,14700000,1500,New Town,4 BHK,Ready To Move,9,NridgHt,2,1948,2004,7,2015,60,50,888,756,9,9,9,9,9,9,9,386,0,342,728,888,756,0,1644,1
3389,Plot  Area,15680000,1600,Sodepur,5 Bedroom,Ready To Move,9,StoneBr,2,1993,2005,6,2014,20,NA,1634,0,9,9,9,9,9,9,9,0,0,1626,1626,1634,0,0,1634,1
3390,Super built-up  Area,28420000,2900,New Town,2 BHK,Ready To Move,9,Sawyer,1,1962,1998,3,2014,120,103,832,878,9,9,9,9,9,9,9,426,0,406,832,832,878,0,1710,1
3391,Plot  Area,11760000,1200,Garia,2 Bedroom,Ready To Move,9,CollgCr,1,1998,2001,7,2017,20,87,1502,0,9,9,9,9,9,9,9,368,1120,0,1488,1502,0,0,1502,1
3392,Built-up  Area,22099000,2255,New Town,2 BHK,Ready To Move,9,NridgHt,2,1953,2007,6,2017,20,70,1161,808,9,9,9,9,9,9,9,0,0,808,808,1161,808,0,1969,1
3393,Built-up  Area,13720000,1400,Garia,2 BHK,Ready To Move,9,CollgCr,2,1949,1965,6,2017,70,67,1072,0,9,9,9,9,9,9,9,459,0,88,547,1072,0,0,1072,1
3394,Super built-up  Area,14700000,1500,Narendrapur,2 BHK,Ready To Move,9,OldTown,1,1941,1971,9,2018,120,65,1976,0,9,9,9,9,9,9,9,1350,0,626,1976,1976,0,0,1976,1
3395,Built-up  Area,15680000,1600,Haltu,3 BHK,Ready To Move,9,NridgHt,2,2007,1970,8,2018,20,50,1652,0,9,9,9,9,9,9,9,1196,0,298,1494,1652,0,0,1652,1
3396,Plot  Area,26460000,2700,Haltu,6 Bedroom,Ready To Move,9,NridgHt,1,1963,2002,7,2016,160,79,970,0,9,9,9,9,9,9,9,630,0,340,970,970,0,0,970,1
3397,Super built-up  Area,11760000,1200,Haltu,2 BHK,19-Jul,9,OldTown,2,2004,1976,5,2016,60,NA,1493,0,9,9,9,9,9,9,9,994,0,484,1478,1493,0,0,1493,1
3398,Plot  Area,45080000,4600,Haltu,6 Bedroom,Ready To Move,9,Mitchel,2,1961,1950,6,2015,50,93,2069,574,9,9,9,9,9,9,9,0,0,2153,2153,2069,574,0,2643,1
3399,Built-up  Area,16170000,1650,Haltu,3 BHK,Ready To Move,9,Sawyer,1,1978,2006,8,2010,60,NA,1718,0,9,9,9,9,9,9,9,1288,0,417,1705,1718,0,0,1718,1
3400,Super built-up  Area,54096000,5520,Haltu,2 BHK,Ready To Move,9,NAmes,2,2005,1960,5,2011,160,NA,1131,0,9,9,9,9,9,9,9,168,0,739,907,1131,0,0,1131,1
3401,Built-up  Area,38220000,3900,Haltu,3 BHK,Ready To Move,9,NAmes,2,1990,1996,10,2011,20,NA,1850,0,9,9,9,9,9,9,9,1261,0,572,1833,1850,0,0,1850,1
3402,Super built-up  Area,17640000,1800,Garia,2 BHK,Ready To Move,9,NWAmes,2,1992,1950,10,2012,60,73,1792,0,9,9,9,9,9,9,9,1567,0,225,1792,1792,0,0,1792,1
3403,Super built-up  Area,44100000,4500,Garia,2 BHK,Ready To Move,9,OldTown,1,1912,1993,8,2012,20,70,916,910,9,9,9,9,9,9,9,299,0,611,910,916,910,0,1826,1
3404,Super built-up  Area,15199800,1551,Garia,3 BHK,Ready To Move,9,MeadowV,2,1967,1950,4,2013,20,84,1216,0,9,9,9,9,9,9,9,897,0,319,1216,1216,0,0,1216,1
3405,Super built-up  Area,15680000,1600,Garia,1 BHK,22-Dec,9,MeadowV,2,1999,2004,6,2020,70,63,999,0,9,9,9,9,9,9,9,588,0,411,999,999,0,0,999,1
3406,Super built-up  Area,19159000,1955,Keshtopur,3 BHK,18-Feb,9,NAmes,1,1959,1985,11,2020,20,313,1113,0,9,9,9,9,9,9,9,607,0,506,1113,1113,0,0,1113,1
3407,Super built-up  Area,15190000,1550,Baguiati,3 BHK,18-Apr,9,Gilbert,2,1955,1973,7,2018,60,52,1073,0,9,9,9,9,9,9,9,836,0,237,1073,1073,0,0,1073,1
3408,Built-up  Area,47236000,4820,Garia,2 BHK,Ready To Move,9,NAmes,1,1970,2005,3,2019,80,67,1484,0,9,9,9,9,9,9,9,998,0,486,1484,1484,0,0,1484,1
3409,Built-up  Area,18061400,1843,Keshtopur,4 Bedroom,Ready To Move,9,OldTown,1,1953,1965,8,2020,60,75,1766,648,9,9,9,9,9,9,9,664,0,290,954,1766,648,0,2414,2
3410,Super built-up  Area,35672000,3640,Paschim Putiary,3 BHK,Ready To Move,9,IDOTRR,1,1949,1997,6,2020,20,73,630,0,9,9,9,9,9,9,9,515,0,115,630,630,0,0,630,1
3411,Built-up  Area,29400000,3000,Garia,3 BHK,Ready To Move,9,NoRidge,2,1978,1974,4,2019,180,NA,616,688,9,9,9,9,9,9,9,0,0,264,264,616,688,0,1304,1
3412,Super built-up  Area,44100000,4500,Garia,3 BHK,Ready To Move,9,BrkSide,2,1963,1952,1,2018,85,55,958,620,9,9,9,9,9,9,9,403,165,238,806,958,620,0,1578,1
